model,config,description,feature_selection,val_sMAPE,val_MASE,test_sMAPE,test_MASE,test_sMAPE_h1,test_sMAPE_h6,test_sMAPE_h24,training_time_seconds
nhits,nhits_wide,Wide N-HiTS with large hidden size,standard_dl,6.013213323378986,1.219291003761995,2.18379603620131,0.4102901782144343,0.011206286452248346,1.4405097000469371,1.0189687339763867,25.416216373443604
patchtst,patchtst_deep,Deep PatchTST with many transformer layers,all,1.602505644456586,0.3309477346165742,1.961658093202195,0.3760250772990674,0.2075143263180549,1.6131930639815901,1.0183236063587926,128.78297543525696
tft,tft_regularized,TFT with strong regularization and dropout,standard_dl,3.800429553260196,0.8422695563943479,1.7779182678798515,0.3426824515707292,0.39862247719197735,0.18186832290642005,2.953427650982809,78.7365243434906
