,date,basinName,damName,activeVolume,id,damId
59,2025-11-18 00:00:00+03:00,Doğu Akdeniz,GÖKÇELER,2.2,96983084,1001
60,2025-11-18 00:00:00+03:00,Seyhan,KARAKUZ,1.56,96983085,1002
61,2025-11-18 00:00:00+03:00,Doğu Akdeniz,PAMUKLUK,138.54,96983087,1101
62,2025-11-18 00:00:00+03:00,Van Gölü,MORGEDİK,51.39,96983088,1201
63,2025-11-18 00:00:00+03:00,Sakarya,GÜRSÖĞÜT-2,1.34,96983081,1701
64,2025-11-18 00:00:00+03:00,Antalya,OYMAPINAR,15.66,96983035,19
65,2025-11-18 00:00:00+03:00,Sakarya,GÖKÇEKAYA,68.11,96983018,24
66,2025-11-18 00:00:00+03:00,Yeşilırmak,ATAKÖY,1.06,96983046,30
67,2025-11-18 00:00:00+03:00,Yeşilırmak,ÇAMLIGÖZE,18.11,96983021,33
68,2025-11-18 00:00:00+03:00,Yeşilırmak,GÖLOVA,8.77,96983056,36
69,2025-11-18 00:00:00+03:00,Kızılırmak,YAMULA,109.45,96983038,46
70,2025-11-18 00:00:00+03:00,Kızılırmak,BOYABAT,579.79,96983053,49
71,2025-11-18 00:00:00+03:00,Kızılırmak,GÜLDÜRCEK,3.99,96983039,51
72,2025-11-18 00:00:00+03:00,Ceyhan,ADATEPE,111.66,96983075,201
73,2025-11-18 00:00:00+03:00,Doğu Karadeniz,YAŞMAKLI,6.25,96983058,703
74,2025-11-18 00:00:00+03:00,Kızılırmak,KARGI KIZILIRMAK,3.22,96983089,2101
75,2025-11-18 00:00:00+03:00,Batı Akdeniz,ALAKIR,2.72,96983031,15
76,2025-11-18 00:00:00+03:00,Doğu Akdeniz,GEZENDE,22.0,96983019,52
77,2025-11-18 00:00:00+03:00,Doğu Akdeniz,ERMENEK,651.59,96983052,54
78,2025-11-18 00:00:00+03:00,Doğu Akdeniz,BALKUSAN,1.61,96983066,55
79,2025-11-18 00:00:00+03:00,Doğu Akdeniz,ALAKÖPRÜ,19.95,96983072,56
80,2025-11-18 00:00:00+03:00,Seyhan,ÇATALAN,35.68,96983022,57
81,2025-11-18 00:00:00+03:00,Seyhan,BAHÇELİK,50.82,96983040,59
82,2025-11-18 00:00:00+03:00,Seyhan,YEDİGÖZE,9.81,96983049,60
83,2025-11-18 00:00:00+03:00,Seyhan,FEKE-2,14.94,96983047,61
84,2025-11-18 00:00:00+03:00,Seyhan,MENGE HES,7.0,96983044,62
85,2025-11-18 00:00:00+03:00,Seyhan,KAVŞAKBENDİ HES,5.73,96983061,64
86,2025-11-18 00:00:00+03:00,Seyhan,GÜMÜŞÖREN,39.97,96983076,65
87,2025-11-18 00:00:00+03:00,Seyhan,GÖKTAŞ-1,6.2,96983070,66
88,2025-11-18 00:00:00+03:00,Ceyhan,ASLANTAŞ,336.28,96983016,67
89,2025-11-18 00:00:00+03:00,Ceyhan,MENZELET,291.92,96983029,68
90,2025-11-18 00:00:00+03:00,Ceyhan,SIR,178.48,96983037,69
91,2025-11-18 00:00:00+03:00,Ceyhan,KOZAN,10.18,96983034,70
92,2025-11-18 00:00:00+03:00,Ceyhan,KARTALKAYA,18.91,96983062,72
93,2025-11-18 00:00:00+03:00,Ceyhan,BERKE ,272.39,96983060,73
94,2025-11-18 00:00:00+03:00,Ceyhan,KILAVUZLU,4.16,96983054,74
95,2025-11-18 00:00:00+03:00,Ceyhan,KANDİL HES,64.45,96983063,75
96,2025-11-18 00:00:00+03:00,Ceyhan,SARIGÜZEL HES,5.28,96983064,76
97,2025-11-18 00:00:00+03:00,Doğu Karadeniz,KÜRTÜN,28.73,96983025,77
98,2025-11-18 00:00:00+03:00,Doğu Karadeniz,TORUL,1.12,96983041,78
99,2025-11-18 00:00:00+03:00,Doğu Karadeniz,TOPÇAM-ORDU,34.81,96983057,80
100,2025-11-18 00:00:00+03:00,Van Gölü,SARIMEHMET,24.04,96983050,83
101,2025-11-18 00:00:00+03:00,Van Gölü,ZERNEK,32.95,96983026,84
102,2025-11-18 00:00:00+03:00,Doğu Akdeniz,YALNIZARDIÇ,2.83,96983074,101
103,2025-11-18 00:00:00+03:00,Yeşilırmak,ÇEKEREK,102.76,96983080,301
104,2025-11-18 00:00:00+03:00,Sakarya,KARGI BARAJI VE HES,5.61,96983079,401
105,2025-11-18 00:00:00+03:00,Asi,BÜYÜK KARAÇAY,0.09,96983083,601
106,2025-11-18 00:00:00+03:00,Batı Karadeniz,KİRAZLIKÖPRÜ,1.62,96983078,801
107,2025-11-18 00:00:00+03:00,Antalya,MANAVGAT,41.54,96983051,20
108,2025-11-18 00:00:00+03:00,Sakarya,GÜRSÖĞÜT-1 BARAJI,19.19,96983082,702
109,2025-11-18 00:00:00+03:00,Doğu Karadeniz,ALADEREÇAM,2.93,96983069,705
110,2025-11-18 00:00:00+03:00,Marmara,YENİCE-GÖNEN,8.06,96983028,1
