,date,basinName,damName,energyGeneration,damId
378,2025-11-18 00:00:00+03:00,Kızılırmak,BOYABAT,187.27,49
379,2025-11-18 00:00:00+03:00,Kızılırmak,GÜLDÜRCEK,0.62,51
380,2025-11-18 00:00:00+03:00,Ceyhan,ADATEPE,17.95,201
381,2025-11-18 00:00:00+03:00,Doğu Karadeniz,YAŞMAKLI,18.77,703
382,2025-11-18 00:00:00+03:00,Kızılırmak,KARGI KIZILIRMAK,0.59,2101
383,2025-11-18 00:00:00+03:00,Batı Akdeniz,ALAKIR,0.12,15
384,2025-11-18 00:00:00+03:00,Doğu Akdeniz,GEZENDE,9.74,52
385,2025-11-18 00:00:00+03:00,Doğu Akdeniz,ERMENEK,492.88,54
386,2025-11-18 00:00:00+03:00,Doğu Akdeniz,BALKUSAN,1.5,55
387,2025-11-18 00:00:00+03:00,Doğu Akdeniz,ALAKÖPRÜ,3.36,56
388,2025-11-18 00:00:00+03:00,Seyhan,ÇATALAN,4.5,57
389,2025-11-18 00:00:00+03:00,Seyhan,BAHÇELİK,3.92,59
390,2025-11-18 00:00:00+03:00,Seyhan,YEDİGÖZE,1.72,60
391,2025-11-18 00:00:00+03:00,Seyhan,FEKE-2,2.16,61
392,2025-11-18 00:00:00+03:00,Seyhan,MENGE HES,0.93,62
393,2025-11-18 00:00:00+03:00,Seyhan,KAVŞAKBENDİ HES,1.21,64
394,2025-11-18 00:00:00+03:00,Seyhan,GÜMÜŞÖREN,1.94,65
395,2025-11-18 00:00:00+03:00,Seyhan,GÖKTAŞ-1,1.96,66
396,2025-11-18 00:00:00+03:00,Ceyhan,ASLANTAŞ,48.56,67
397,2025-11-18 00:00:00+03:00,Ceyhan,MENZELET,63.21,68
398,2025-11-18 00:00:00+03:00,Ceyhan,SIR,38.45,69
399,2025-11-18 00:00:00+03:00,Ceyhan,KOZAN,0.79,70
400,2025-11-18 00:00:00+03:00,Ceyhan,KARTALKAYA,1.53,72
401,2025-11-18 00:00:00+03:00,Ceyhan,BERKE ,125.35,73
402,2025-11-18 00:00:00+03:00,Ceyhan,KILAVUZLU,0.53,74
403,2025-11-18 00:00:00+03:00,Ceyhan,KANDİL HES,33.43,75
404,2025-11-18 00:00:00+03:00,Ceyhan,SARIGÜZEL HES,1.3,76
405,2025-11-18 00:00:00+03:00,Doğu Karadeniz,KÜRTÜN,6.3,77
406,2025-11-18 00:00:00+03:00,Doğu Karadeniz,TORUL,0.65,78
407,2025-11-18 00:00:00+03:00,Doğu Karadeniz,TOPÇAM-ORDU,20.92,80
408,2025-11-18 00:00:00+03:00,Van Gölü,SARIMEHMET,1.64,83
409,2025-11-18 00:00:00+03:00,Van Gölü,ZERNEK,3.43,84
410,2025-11-18 00:00:00+03:00,Doğu Akdeniz,YALNIZARDIÇ,0.77,101
411,2025-11-18 00:00:00+03:00,Yeşilırmak,ÇEKEREK,12.35,301
412,2025-11-18 00:00:00+03:00,Sakarya,KARGI BARAJI VE HES,1.18,401
413,2025-11-18 00:00:00+03:00,Asi,BÜYÜK KARAÇAY,0.01,601
414,2025-11-18 00:00:00+03:00,Batı Karadeniz,KİRAZLIKÖPRÜ,0.11,801
415,2025-11-18 00:00:00+03:00,Antalya,MANAVGAT,1.76,20
416,2025-11-18 00:00:00+03:00,Sakarya,GÜRSÖĞÜT-1 BARAJI,2.82,702
417,2025-11-18 00:00:00+03:00,Doğu Karadeniz,ALADEREÇAM,1.45,705
418,2025-11-18 00:00:00+03:00,Marmara,YENİCE-GÖNEN,0.77,1
419,2025-11-18 00:00:00+03:00,Susurluk,ÇAYGÖREN,1.03,2
420,2025-11-18 00:00:00+03:00,Susurluk,MANYAS,7.25,3
421,2025-11-18 00:00:00+03:00,Susurluk,ÇINARCIK,93.4,4
422,2025-11-18 00:00:00+03:00,Susurluk,DEVECİKONAĞI,0.06,5
423,2025-11-18 00:00:00+03:00,Kuzey Ege,BAYRAMİÇ,0.0,6
424,2025-11-18 00:00:00+03:00,Büyük Menderes,ÇAPALI DİNAR KARAKUYU,1.12,10
425,2025-11-18 00:00:00+03:00,Büyük Menderes,CİNDERE,1.99,11
426,2025-11-18 00:00:00+03:00,Antalya,KARACAÖREN II,0.97,18
427,2025-11-18 00:00:00+03:00,Antalya,SORGUN,1.12,23
428,2025-11-18 00:00:00+03:00,Sakarya,YENİCE,0.04,25
429,2025-11-18 00:00:00+03:00,Sakarya,SARIYAR,88.97,26
430,2025-11-18 00:00:00+03:00,Batı Karadeniz,HASANLAR,1.5,28
431,2025-11-18 00:00:00+03:00,Batı Karadeniz,KÖPRÜBAŞI,18.81,29
432,2025-11-18 00:00:00+03:00,Yeşilırmak,KILIÇKAYA,85.83,31
433,2025-11-18 00:00:00+03:00,Yeşilırmak,H.UĞURLU,81.44,32
434,2025-11-18 00:00:00+03:00,Yeşilırmak,ALMUS,23.11,35
435,2025-11-18 00:00:00+03:00,Yeşilırmak,TEPEKIŞLA,0.86,38
436,2025-11-18 00:00:00+03:00,Kızılırmak,ALTINKAYA,240.57,41
437,2025-11-18 00:00:00+03:00,Kızılırmak,DERBENT,1.84,42
438,2025-11-18 00:00:00+03:00,Kızılırmak,KESİKKÖPRÜ,5.13,44
439,2025-11-18 00:00:00+03:00,Kızılırmak,KAPULUKAYA,6.96,45
440,2025-11-18 00:00:00+03:00,Kızılırmak,OBRUK,15.99,47
441,2025-11-18 00:00:00+03:00,Kızılırmak,BAYRAMHACILI HES,5.8,48
442,2025-11-18 00:00:00+03:00,Kızılırmak,ÇERMİKLER,0.4,50
443,2025-11-18 00:00:00+03:00,Doğu Akdeniz,BERDAN,2.35,53
444,2025-11-18 00:00:00+03:00,Doğu Akdeniz,GÖKÇELER,0.3,1001
445,2025-11-18 00:00:00+03:00,Seyhan,KARAKUZ,2.29,1002
446,2025-11-18 00:00:00+03:00,Doğu Akdeniz,PAMUKLUK,32.2,1101
447,2025-11-18 00:00:00+03:00,Van Gölü,MORGEDİK,6.17,1201
448,2025-11-18 00:00:00+03:00,Sakarya,GÜRSÖĞÜT-2,0.1,1701
449,2025-11-18 00:00:00+03:00,Antalya,OYMAPINAR,5.47,19
450,2025-11-18 00:00:00+03:00,Sakarya,GÖKÇEKAYA,18.23,24
451,2025-11-18 00:00:00+03:00,Yeşilırmak,ATAKÖY,0.04,30
