Date,USD_TRY,EUR_TRY,GBP_TRY,XAU_TRY,FX_basket,USD_TRY_mom7d,USD_TRY_mom30d,EUR_TRY_mom7d,EUR_TRY_mom30d,XAU_TRY_mom7d,XAU_TRY_mom30d,FX_basket_mom7d,FX_basket_mom30d,FX_volatility,date
2025-01-03,35.2525,36.4804,43.9513,,35.86645,0.13975962480790027,1.6607741243374496,-0.34746883160872155,0.08504941096425522,,,-0.10861860803861312,0.8532744706577056,0.12454277671367506,2025-01-03
2025-01-04,35.2525,36.4804,43.9513,,35.86645,0.13975962480790027,1.6294148002294673,-0.34746883160872155,0.1136145338785477,,,-0.10861860803861312,0.8528490867653726,0.11876573358057343,2025-01-04
2025-01-05,35.2525,36.4804,43.9513,,35.86645,0.13975962480790027,1.6645854541993854,-0.34746883160872155,-0.09092502519607581,,,-0.10861860803861312,0.764164076141105,0.11383523150897491,2025-01-05
2025-01-06,35.271,36.2762,43.6637,,35.7736,0.3819357482753194,1.7179375520903983,-0.920974288102161,-0.6501687042635984,,,-0.2829260406242762,0.5033088023554511,0.10740864208873321,2025-01-06
2025-01-07,35.2892,36.5264,43.9542,,35.9078,0.18709206689888624,1.7704244808264047,-0.5892294837914203,0.035055431400921044,,,-0.20926490491368632,0.8803338722750409,0.10159896223930734,2025-01-07
2025-01-08,35.2764,36.7501,44.2045,,36.01325,0.15075248486087212,1.6590443420449796,0.019595622555668157,0.08905859347341227,,,0.0837893344375562,0.85188488632435,0.10599933127879846,2025-01-08
2025-01-09,35.3179,36.459,43.879,,35.888450000000006,0.10657505746833884,1.6345370778045654,-0.7545690626684087,-0.6972626991692765,,,-0.33270153367628286,0.4365779564513561,0.10524421004879016,2025-01-09
2025-01-10,35.2921,36.3567,43.2761,,35.8244,0.11233245869086694,1.4732732024715478,-0.3390861942303425,-0.8278732794693044,,,-0.11724048518881869,0.29241362319936126,0.10325967107834318,2025-01-10
2025-01-11,35.2921,36.3567,43.2761,,35.8244,0.11233245869086694,1.4059213626489875,-0.3390861942303425,-0.5419260945211168,,,-0.11724048518881869,0.4080854737267048,0.09918320882380692,2025-01-11
2025-01-12,35.2921,36.3567,43.2761,,35.8244,0.11233245869086694,1.3625253822050265,-0.3390861942303425,-0.6302733462157706,,,-0.11724048518881869,0.34143267278201606,0.09596108115530472,2025-01-12
2025-01-13,35.3356,36.3871,43.3588,,35.86135,0.18315329874400987,1.4874618369392412,0.3057100798870671,-0.5471844055177644,,,0.2452926180199988,0.44492682585253185,0.09241369469502152,2025-01-13
2025-01-14,35.4197,36.1555,42.8827,,35.7876,0.3698015256792475,1.7290056494254191,-1.0154299356082142,-1.1801909405722677,,,-0.3347462111296218,0.23835865835724057,0.08911800269286929,2025-01-14
2025-01-15,35.4292,36.3401,43.1383,,35.88465,0.4331507750223951,1.6266948921608293,-1.1156432227395374,-0.4969661789187785,,,-0.35709079297202573,0.540179340661795,0.08425803179049254,2025-01-15
2025-01-16,35.4294,36.5032,43.2145,,35.966300000000004,0.3157039348319124,1.5212688224422344,0.12123206889931293,-0.40000218282227884,,,0.21692215740718446,0.537119679992415,0.08521116942834209,2025-01-16
2025-01-17,35.3979,36.4274,43.1444,,35.91265,0.2997838043074852,1.3630415298136578,0.1944620936443764,-0.5867519594786486,,,0.24634048302274447,0.3647069837893868,0.08436126715113788,2025-01-17
2025-01-18,35.3979,36.4274,43.1444,,35.91265,0.2997838043074852,1.2731418566127584,0.1944620936443764,-0.7316893712921657,,,0.24634048302274447,0.24634048302274447,0.08441412654460265,2025-01-18
2025-01-19,35.3979,36.4274,43.1444,,35.91265,0.2997838043074852,1.1175003642159842,0.1944620936443764,0.038447384753959035,,,0.24634048302274447,0.5673472873882757,0.07924406574432244,2025-01-19
2025-01-20,35.4119,36.4604,43.1131,,35.93615,0.215929544142468,1.1574927085386433,0.2014450176023974,0.1290733631025942,,,0.2085811047269459,0.6331550921939266,0.07353340621278007,2025-01-20
2025-01-21,35.5183,36.6347,43.2598,,36.0765,0.27837615790085035,1.4614345253908478,1.3253861791428623,0.6077433032894541,,,0.8072628508198454,1.0261817051502309,0.07427673692495693,2025-01-21
2025-01-22,35.5516,36.832,43.4873,,36.1918,0.3454777415239363,1.3966727416369284,1.3536011183238328,1.141799528781129,,,0.8559370092783514,1.2668215859123144,0.08648288025025716,2025-01-22
2025-01-23,35.5815,37.1109,43.8491,,36.346199999999996,0.4293044759436926,1.3530257929443401,1.6647855530474098,1.5421111819477806,,,1.0562665606414612,1.4494695326696005,0.11613659610859366,2025-01-23
2025-01-24,35.5915,37.0294,43.7365,,36.31045,0.5469251000765674,1.1656727702706648,1.6526021621087628,1.2581591662952363,,,1.107687681081737,1.2128104673543305,0.13503758762149645,2025-01-24
2025-01-25,35.5915,37.0294,43.7365,,36.31045,0.5469251000765674,1.0657027163635036,1.6526021621087628,1.0098420041899647,,,1.107687681081737,1.0372116189962144,0.15085612874276672,2025-01-25
2025-01-26,35.5915,37.0294,43.7365,,36.31045,0.5469251000765674,1.102737527447717,1.6526021621087628,1.152219757645967,,,1.107687681081737,1.1279624680932798,0.16388662247886565,2025-01-26
2025-01-27,35.5994,37.3073,44.1063,,36.45335,0.5294830268920858,1.125178605414856,2.322794045046117,1.9113517411684988,,,1.4392192819765226,1.5259521883168148,0.18576027362548572,2025-01-27
2025-01-28,35.6602,37.3915,44.3911,,36.525850000000005,0.3995123640489595,1.2978896864782596,2.0658010028743234,2.1413586249849903,,,1.2455476556761491,1.7278713955680924,0.20948706737015194,2025-01-28
2025-01-29,35.6978,37.2335,44.3219,,36.46565,0.41123324969902786,1.5966166526263148,1.0900847089487353,1.693642218422764,,,0.7566631115335509,1.646127815671572,0.22393223449371125,2025-01-29
2025-01-30,35.7067,37.1865,44.3204,,36.446600000000004,0.35186824613915313,1.372387027904809,0.2037137337008943,1.2073080785675705,,,0.27623245346144465,1.2881046935922846,0.2364733183691536,2025-01-30
2025-01-31,35.721,37.1844,44.3676,,36.45269999999999,0.36385091946109505,1.412985154712909,0.41858631249762634,1.201592688655495,,,0.39176049869937835,1.3050570962479302,0.2477190409840073,2025-01-31
2025-02-01,35.721,37.1844,44.3676,,36.45269999999999,0.36385091946109505,1.2491390379333556,0.41858631249762634,1.22004997795091,,,0.39176049869937835,1.234300472808303,0.2577531563380809,2025-02-01
2025-02-02,35.721,37.1844,44.3676,,36.45269999999999,0.36385091946109505,1.3289837600170218,0.41858631249762634,1.9298034012784848,,,0.39176049869937835,1.6345358963599566,0.26375319607248376,2025-02-02
2025-02-03,35.763,37.1461,44.3465,,36.45455,0.4595583071624665,1.4481242465073318,-0.4320870178222469,1.8248155173737013,,,0.0032918785241919934,1.6396939200840732,0.26823192317631417,2025-02-03
2025-02-04,35.9022,36.763,44.0864,,36.3326,0.6786277138097763,1.8429898588752547,-1.6808632978083327,0.7746625585245637,,,-0.5290773520671199,1.2996825724318928,0.26704269688303695,2025-02-04
2025-02-05,35.9164,37.0822,44.5209,,36.499300000000005,0.6123626666069137,1.8298318732102858,-0.4063544925940299,2.2218424200991294,,,0.09227862385563501,2.028590916206374,0.26678581237146787,2025-02-05
2025-02-06,35.8683,37.3222,44.8018,,36.59525,0.45257612716940177,1.6410119810026824,0.36491737592942997,2.178698147093616,,,0.4078569743130922,1.9144865460986038,0.2745612474883511,2025-02-06
2025-02-07,35.8332,37.1584,44.5218,,36.4958,0.3141009490215785,1.5783923529611776,-0.0699217951613984,1.11101738498669,,,0.11823541191737785,1.3399235003783483,0.2789074942922114,2025-02-07
2025-02-08,35.8332,37.1584,44.5218,,36.4958,0.3141009490215785,1.4590335212455896,-0.0699217951613984,1.9183192078773281,,,0.11823541191737785,1.6923271971901688,0.2782848681903848,2025-02-08
2025-02-09,35.8332,37.1584,44.5218,,36.4958,0.3141009490215785,1.53320431484667,-0.0699217951613984,2.2050956219899165,,,0.11823541191737785,1.8741416464755911,0.2731103245594747,2025-02-09
2025-02-10,35.9055,37.2933,44.6231,,36.5994,0.3984565053267497,1.7380660261078429,0.3962730946182935,2.576141398971865,,,0.39734409010674376,2.16333002087965,0.26977013834355634,2025-02-10
2025-02-11,35.9451,37.1016,44.5179,,36.52334999999999,0.1194912846566476,1.8502724405745186,0.9210347360117499,2.048865821155399,,,0.5250105965441287,1.9510445394758769,0.2610046957871375,2025-02-11
2025-02-12,35.9593,37.0881,44.3632,,36.5237,0.11944404227595129,1.7650754479901165,0.01591059861603128,1.9265069214089658,,,0.06685059713471553,1.846974528287415,0.2520518401145299,2025-02-12
2025-02-13,36.0273,37.3666,44.7707,,36.69695,0.44328836326226195,1.7154295490927396,0.11896404820721518,3.3496978329714544,,,0.2779049193542882,2.5409639092870195,0.24228313142821398,2025-02-13
2025-02-14,36.0448,37.5557,44.9389,,36.800250000000005,0.5905138251677267,1.7375498176645188,1.069206424388569,3.345065093381705,,,0.8342055798201464,2.551508792756807,0.24133760996073186,2025-02-14
2025-02-15,36.0448,37.5557,44.9389,,36.800250000000005,0.5905138251677267,1.7369755062180081,1.069206424388569,2.883308860593048,,,0.8342055798201464,2.3186983370544034,0.24186420278305087,2025-02-15
2025-02-16,36.0448,37.5557,44.9389,,36.800250000000005,0.5905138251677267,1.8275095415264841,1.069206424388569,3.0973937201117963,,,0.8342055798201464,2.471552503087371,0.2353097444906374,2025-02-16
2025-02-17,36.106,37.7997,45.3303,,36.95285,0.5584102714068839,2.0004011537407607,1.3578846602472883,3.767219181165826,,,0.9657262140909229,2.8964724129241226,0.2342520229220101,2025-02-17
2025-02-18,36.1523,37.8966,45.4626,,37.02445,0.5764346183485314,2.131199873438816,2.1427647325182875,4.033227735166389,,,1.371999008853253,3.095845057382296,0.23310522509628992,2025-02-18
2025-02-19,36.1964,37.8678,45.5473,,37.0321,0.6593565503221654,2.215356984516492,2.102291570611614,3.8600783315597242,,,1.3919728833606815,3.049714563190564,0.22848587124999645,2025-02-19
2025-02-20,36.2267,37.812,45.5852,,37.01935,0.5534691747647091,1.9944648251746244,1.1919735806843468,3.213619874053819,,,0.8785471272135803,2.6134741452191967,0.22871473069340642,2025-02-20
2025-02-21,36.2472,37.8218,45.6149,,37.0345,0.5615234375,1.9565926709346426,0.7085475706750222,2.687337098175502,,,0.6365445886916454,2.3284279864499657,0.23337764408849282,2025-02-21
2025-02-22,36.2472,37.8218,45.6149,,37.0345,0.5615234375,1.870916065933148,0.7085475706750222,1.9156096995761374,,,0.6365445886916454,1.893733044995094,0.2422362297936925,2025-02-22
2025-02-23,36.2472,37.8218,45.6149,,37.0345,0.5615234375,1.8422938061053884,0.7085475706750222,2.1399212517621224,,,0.6365445886916454,1.994054053309724,0.2470677993968463,2025-02-23
2025-02-24,36.306,38.0381,45.8683,,37.17205,0.5539245554755379,2.007501791157984,0.6306928361865305,2.724051699460417,,,0.5931883467716226,2.3728706198903993,0.2576277123844701,2025-02-24
2025-02-25,36.3563,38.1135,45.9001,,37.234899999999996,0.564279451099936,2.1488276695278197,0.5723468596127379,2.927673686314125,,,0.5684081735177537,2.54596128662683,0.26869317084575234,2025-02-25
2025-02-26,36.3875,38.1144,45.8716,,37.25095,0.5279530561050461,2.213801356202638,0.6512129038391379,2.163383573724187,,,0.5909737768044598,2.1880019257489502,0.2828670775353639,2025-02-26
2025-02-27,36.3717,38.1763,45.9298,,37.274,0.40025726881001145,1.9952215635357984,0.9634507563736294,2.098872738456592,,,0.6878834987648297,2.0482753994773395,0.2974602941028692,2025-02-27
2025-02-28,36.3652,38.104,46.0035,,37.2346,0.3255423867222884,1.8695829995125868,0.7461305384725003,2.337948352961705,,,0.5403070110302499,2.1086968146735385,0.30529507755773594,2025-02-28
2025-03-01,36.3652,38.104,46.0035,,37.2346,0.3255423867222884,1.8441917063184432,0.7461305384725003,2.46729323813748,,,0.5403070110302499,2.162067243583765,0.31002693285201544,2025-03-01
2025-03-02,36.3652,38.104,46.0035,,37.2346,0.3255423867222884,1.8034209568601245,0.7461305384725003,2.4730801088628684,,,0.5403070110302499,2.144971428728204,0.31266486564462403,2025-03-02
2025-03-03,36.3812,37.8234,45.7326,,37.1023,0.2071282983528988,1.8482125360432367,-0.5644340805665893,1.7184625810823917,,,-0.18764098294282716,1.782035349919231,0.3083693038256309,2025-03-03
2025-03-04,36.4097,37.9507,45.8744,,37.1802,0.14687963296595719,1.9279975364631552,-0.42714523725190245,2.0608104473919253,,,-0.14690518841193878,1.9957369412965553,0.3048060080475849,2025-03-04
2025-03-05,36.4011,38.2606,46.2174,,37.33085,0.037375472346257155,1.784246288063085,0.38358205822468516,3.000314972500484,,,0.2144911740505906,2.4038151616190495,0.3053974412599287,2025-03-05
2025-03-06,36.3682,38.8476,46.5634,,37.6079,-0.009622866129421759,1.2979705979020872,1.7584208003394775,5.67037510540489,,,0.895798680045079,3.5100708454666174,0.3121850779373239,2025-03-06
2025-03-07,36.3748,39.2821,46.8031,,37.828450000000004,0.026398864848808934,1.2762971790045707,3.091801385681303,5.932495914481883,,,1.594887550826396,3.6415766877720968,0.33999738094656995,2025-03-07
2025-03-08,36.3748,39.2821,46.8031,,37.828450000000004,0.026398864848808934,1.4121104150461639,3.091801385681303,5.2512981549855065,,,1.594887550826396,3.3698362492400102,0.3645211030170691,2025-03-08
2025-03-09,36.3748,39.2821,46.8031,,37.828450000000004,0.026398864848808934,1.5114474844557524,3.091801385681303,5.71526222872889,,,1.594887550826396,3.65151606486227,0.3782141921294271,2025-03-09
2025-03-10,36.3153,39.387,46.8281,,37.851150000000004,-0.18113751058238536,1.3454003549780769,4.133948825330358,5.997567171891149,,,2.0183384857542563,3.7137150028222488,0.38763759144773857,2025-03-10
2025-03-11,36.4558,39.5144,46.974,,37.9851,0.12661461094158888,1.7374948371901011,4.120345606273412,6.340423699621089,,,2.164861942646912,4.080743537612541,0.40025307586599096,2025-03-11
2025-03-12,36.5088,39.7755,47.0901,,38.14215,0.2958701797473262,1.6802439737644503,3.9594256232259983,6.655887250524883,,,2.1732695612342257,4.215233036607158,0.4230701398486627,2025-03-12
2025-03-13,36.5401,39.8506,47.179,,38.195350000000005,0.4726656804570961,1.6553021135008894,2.5818840803550236,7.409383961877669,,,1.5620388269486085,4.577893320300608,0.43800954932573505,2025-03-13
2025-03-14,36.5387,39.7179,47.2375,,38.128299999999996,0.45058666989232776,1.611266070251638,1.109411156735507,7.09068407386737,,,0.7926573782430779,4.393311740048245,0.4409807140092646,2025-03-14
2025-03-15,36.5387,39.7179,47.2375,,38.128299999999996,0.45058666989232776,1.4194791172249976,1.109411156735507,6.292517917070328,,,0.7926573782430779,3.900460392484928,0.4476046048728828,2025-03-15
2025-03-16,36.5387,39.7179,47.2375,,38.128299999999996,0.45058666989232776,1.3702392578125,1.109411156735507,5.757315134586749,,,0.7926573782430779,3.6088070053871713,0.4542349494106047,2025-03-16
2025-03-17,36.535,39.6843,47.1761,,38.10965,0.6049791685597938,1.3599742542613535,0.7548175794043654,5.6678480230697215,,,0.682938299100555,3.5581280018478045,0.4554265381561126,2025-03-17
2025-03-18,36.6139,39.8766,47.3365,,38.24525,0.43367584856182084,1.5788685191761243,0.9166278622476876,6.179887473805579,,,0.6848738057817272,3.926603759485303,0.45912014747534513,2025-03-18
2025-03-19,36.5922,40.0133,47.4421,,38.30275,0.22843807520378512,1.3465905943610412,0.5978554637905198,5.856131133315867,,,0.4210564952421558,3.6530335278605275,0.468391046901822,2025-03-19
2025-03-20,37.9839,41.4214,49.192,,39.70265,3.951275448069369,5.0663443266403485,3.941722332913433,9.301098251558182,,,3.9462918915522227,7.233598338395297,0.5999548340389922,2025-03-20
2025-03-21,37.915,41.1915,49.0735,,39.55325,3.7666912068573977,4.747985987556791,3.7101659453294245,8.777114065248037,,,3.7372502839098543,6.808012508067329,0.6818129993601834,2025-03-21
2025-03-22,37.915,41.1915,49.0735,,39.55325,3.7666912068573977,4.660374806427292,3.7101659453294245,8.937638844811179,,,3.7372502839098543,6.844798733635238,0.7446379843754245,2025-03-22
2025-03-23,37.915,41.1915,49.0735,,39.55325,3.7666912068573977,4.6011829879273325,3.7101659453294245,8.909412032214203,,,3.7372502839098543,6.801090874724913,0.7938857000314056,2025-03-23
2025-03-24,37.8502,41.0195,48.8913,,39.43485,3.5998357739154274,4.422410558608658,3.364554748351356,8.454647848595243,,,3.4773344808991746,6.481388975144786,0.8240689446061897,2025-03-24
2025-03-25,37.86,41.04,48.9551,,39.45,3.40335227877937,4.4494471297093385,2.9175004890085843,8.508849393735884,,,3.1500643870807643,6.522296777329251,0.8462410770028208,2025-03-25
2025-03-26,37.9086,40.9489,48.918,,39.42875,3.5974879892436196,4.414146422079002,2.3382225410051083,7.652327534761194,,,2.939736702978246,6.0709592287753855,0.8646701504334341,2025-03-26
2025-03-27,37.9287,40.9326,48.8902,,39.43065,-0.14532472968810106,4.324972563214624,-1.180066342518593,7.39659175882561,,,-0.685092808666421,5.897021342879949,0.8786345362814733,2025-03-27
2025-03-28,37.9323,40.874,48.9378,,39.40315,0.045628379269424535,4.24541394709721,-0.7707900901885001,7.240308125013106,,,-0.37948841119250787,5.777570773362806,0.8855813424749126,2025-03-28
2025-03-29,37.9323,40.874,48.9378,,39.40315,0.045628379269424535,4.290698537599291,-0.7707900901885001,7.066426028714168,,,-0.37948841119250787,5.71215860921821,0.8874645267989334,2025-03-29
2025-03-30,37.9323,40.874,48.9378,,39.40315,0.045628379269424535,4.3093396983929555,-0.7707900901885001,7.269577997060694,,,-0.37948841119250787,5.824018520408436,0.881666275684801,2025-03-30
2025-03-31,37.9323,40.874,48.9378,,39.40315,0.21690770458280273,4.3093396983929555,-0.35470934555515976,7.269577997060694,,,-0.08038575016768856,5.824018520408436,0.8696361086083243,2025-03-31
2025-04-01,37.9323,40.874,48.9378,,39.40315,0.1909667194928577,4.3093396983929555,-0.40448343079920734,7.269577997060694,,,-0.11875792141953223,5.824018520408436,0.8511098081170371,2025-04-01
2025-04-02,37.7656,40.7019,48.7963,,39.23375,-0.37722311032325484,3.8052620584257735,-0.6031908061022384,7.610368184774519,,,-0.49456297752275,5.744792101837359,0.8126161826492773,2025-04-02
2025-04-03,37.8559,40.8746,48.8657,,39.36525,-0.1919390857055503,3.9720184456339958,-0.14169634960886635,7.7044692192765885,,,-0.1658608214675561,5.876918359772154,0.7743566179706013,2025-04-03
2025-04-04,37.8637,41.74,49.7118,,39.80185,-0.1808485116905567,4.018010444739306,2.1187062680432467,9.0939504346508,,,1.0118480375300054,6.6191902943544045,0.7535110947794942,2025-04-04
2025-04-05,37.8637,41.74,49.7118,,39.80185,-0.1808485116905567,4.11210893032925,2.1187062680432467,7.445504999021835,,,1.0118480375300054,5.833747696627567,0.740740523010544,2025-04-05
2025-04-06,37.8637,41.74,49.7118,,39.80185,-0.1808485116905567,4.093218381956731,2.1187062680432467,6.257048375723295,,,1.0118480375300054,5.216708588377261,0.7328626838606642,2025-04-06
2025-04-07,37.8465,41.7115,49.152,,39.778999999999996,-0.2261924533972337,4.045932898600135,2.0489797915545394,6.184496246381932,,,0.95385774995147,5.156304315931504,0.7178292853365899,2025-04-07
2025-04-08,37.933,41.6552,48.6948,,39.7941,0.001845392976429494,4.283734893387736,1.9112394187013715,6.041173969823399,,,0.9921795592484406,5.196221362493025,0.696761493439679,2025-04-08
2025-04-09,37.93,41.4822,48.3201,,39.7061,0.43531679623785013,4.44633529118581,1.9171095206857558,5.319521669586402,,,1.2039379360881952,4.900643705673402,0.6671055541783347,2025-04-09
2025-04-10,37.9327,41.871,48.5207,,39.901849999999996,0.2028745849391944,4.05120721531278,2.4376996961438246,5.963901767456936,,,1.3631311880401897,5.046057533085313,0.6455364667566921,2025-04-10
2025-04-11,37.8646,41.8133,48.7317,,39.83895,0.0023769467854428683,3.7136252081690024,0.1756109247723847,5.12325426455984,,,0.09321174769514329,4.4486218002917965,0.6245917238476068,2025-04-11
2025-04-12,37.8646,41.8133,48.7317,,39.83895,0.0023769467854428683,3.624784825438354,0.1756109247723847,4.925145418136734,,,0.09321174769514329,4.303141612787931,0.6008750890753779,2025-04-12
2025-04-13,37.8646,41.8133,48.7317,,39.83895,0.0023769467854428683,3.628755264965644,0.1756109247723847,5.275706923074974,,,0.09321174769514329,4.486562474592359,0.565907049546076,2025-04-13
2025-04-14,37.9073,43.0405,49.4987,,40.4739,0.16064893715403983,3.74561766017949,3.1861716792731087,8.365497672334143,,,1.7469016315141195,6.151860953674837,0.5520210416941334,2025-04-14
2025-04-15,37.9649,43.2496,49.9387,,40.60725,0.08409564231670608,3.903258736627202,3.827613359196458,8.891960551791511,,,2.0433933673584814,6.501601172882099,0.5347645453026372,2025-04-15
2025-04-16,38.0065,43.101,50.1835,,40.55375,0.20168731874505852,4.027644724237045,3.902396690628751,8.60970207361602,,,2.1348105202978918,6.41333625472813,0.49756560581008313,2025-04-16
2025-04-17,38.0472,43.2457,50.4164,,40.64645,0.3018503823877472,3.9146335135016974,3.283179288767868,8.44881459301945,,,1.8660788910789927,6.278426732731512,0.4640842596826129,2025-04-17
2025-04-18,38.0611,43.2644,50.2831,,40.66275,0.5189543795524054,4.0142434726526455,3.4704268737459243,8.125048421399894,,,2.0678255827525804,6.161437494696864,0.42049930648198364,2025-04-18
2025-04-19,38.0611,43.2644,50.2831,,40.66275,0.5189543795524054,0.20324400601308135,3.4704268737459243,4.4493908945617555,,,2.0678255827525804,2.418226491178821,0.4514612246102022,2025-04-19
