iter	Passed	Remaining
417	2560	9691
418	2566	9685
419	2572	9678
420	2579	9673
421	2585	9666
422	2591	9661
423	2597	9654
424	2603	9646
425	2608	9639
426	2614	9632
427	2620	9625
428	2626	9618
429	2632	9611
430	2637	9603
431	2645	9600
432	2650	9592
433	2656	9585
434	2662	9577
435	2667	9569
436	2673	9560
437	2678	9552
438	2684	9544
439	2689	9536
440	2695	9528
441	2701	9520
442	2706	9512
443	2712	9505
444	2717	9496
445	2723	9489
446	2728	9480
447	2734	9471
448	2739	9464
449	2746	9460
450	2752	9453
451	2758	9446
452	2764	9439
453	2769	9432
454	2775	9424
455	2780	9415
456	2786	9407
457	2792	9400
458	2798	9394
459	2804	9388
460	2809	9380
461	2815	9374
462	2822	9368
463	2827	9360
464	2833	9354
465	2841	9353
466	2847	9347
467	2853	9340
468	2859	9333
469	2864	9325
470	2870	9318
471	2876	9311
472	2881	9303
473	2887	9296
474	2893	9288
475	2899	9281
476	2904	9274
477	2910	9267
478	2916	9260
479	2922	9253
480	2928	9246
481	2933	9239
482	2940	9234
483	2946	9227
484	2951	9220
485	2957	9214
486	2963	9206
487	2968	9198
488	2974	9192
489	2980	9184
490	2985	9175
491	2991	9168
492	2996	9159
493	3002	9152
494	3007	9145
495	3013	9137
496	3019	9130
497	3024	9122
498	3030	9114
499	3042	9126
500	3048	9121
501	3054	9115
502	3061	9110
503	3067	9105
504	3073	9099
505	3080	9094
506	3086	9088
507	3091	9081
508	3098	9074
509	3103	9067
510	3109	9060
511	3114	9052
512	3120	9045
513	3125	9037
514	3136	9045
515	3143	9039
516	3149	9034
517	3155	9028
518	3162	9023
519	3168	9017
520	3174	9011
521	3180	9004
522	3186	8997
523	3192	8991
524	3197	8984
525	3203	8977
526	3209	8970
527	3215	8963
528	3221	8957
529	3226	8950
530	3234	8947
531	3239	8940
532	3245	8932
533	3250	8924
534	3256	8917
535	3261	8908
536	3267	8901
537	3272	8893
538	3277	8885
539	3283	8877
540	3289	8871
541	3295	8863
542	3300	8857
543	3306	8849
544	3312	8842
545	3317	8834
546	3323	8827
547	3331	8827
548	3337	8820
549	3343	8813
550	3348	8806
551	3354	8799
552	3360	8792
553	3366	8785
554	3371	8778
555	3377	8772
556	3383	8765
557	3389	8759
558	3395	8752
559	3401	8745
560	3406	8738
561	3412	8732
562	3418	8725
563	3424	8718
564	3431	8716
565	3437	8708
566	3443	8702
567	3448	8695
568	3454	8688
569	3460	8681
570	3466	8674
571	3471	8667
572	3477	8660
573	3483	8653
574	3488	8646
575	3494	8638
576	3499	8631
577	3505	8623
578	3510	8616
579	3516	8609
580	3522	8603
581	3530	8602
582	3537	8596
583	3542	8590
584	3548	8583
585	3554	8576
586	3559	8569
587	3565	8561
588	3571	8555
589	3577	8548
590	3582	8541
591	3588	8535
592	3594	8528
593	3600	8521
594	3605	8514
595	3611	8508
596	3617	8501
597	3623	8494
598	3629	8489
599	3635	8483
600	3641	8477
601	3647	8471
602	3653	8464
603	3659	8458
604	3665	8451
605	3671	8444
606	3676	8437
607	3682	8430
608	3687	8423
609	3693	8416
610	3699	8409
611	3704	8402
612	3710	8395
613	3716	8388
614	3721	8381
615	3727	8374
616	3732	8366
617	3738	8359
618	3744	8353
619	3749	8346
620	3755	8339
621	3761	8332
622	3767	8326
623	3773	8320
624	3779	8313
625	3784	8306
626	3790	8299
627	3795	8292
628	3801	8285
629	3807	8278
630	3812	8271
631	3818	8265
632	3823	8258
633	3829	8250
634	3835	8244
635	3840	8237
636	3846	8230
637	3851	8222
638	3856	8214
639	3862	8207
640	3868	8201
641	3874	8194
642	3879	8188
643	3885	8181
644	3891	8175
645	3897	8168
646	3903	8162
647	3908	8154
648	3914	8148
649	3919	8141
650	3926	8135
651	3931	8129
652	3937	8122
653	3943	8115
654	3948	8108
655	3954	8101
656	3960	8095
657	3965	8087
658	3971	8081
659	3976	8074
660	3982	8067
661	3988	8061
662	3994	8054
663	3999	8048
664	4005	8041
665	4011	8034
666	4020	8035
667	4026	8029
668	4032	8023
669	4038	8017
670	4044	8011
671	4050	8005
672	4056	7999
673	4062	7992
674	4068	7986
675	4074	7980
676	4080	7973
