Model,MAE,RMSE,MAPE,sMAPE,MASE,Training Time (s)
CatBoost,519.9123847489493,845.4629034739999,1.2403617543169327,1.2515885172124046,0.2723580306641429,2.8128621578216553
XGBoost,527.5874571693273,826.7911999455062,1.2691767566035927,1.2814590395709087,0.27637864581188204,4.827716112136841
Prophet,2644.295023204845,3284.0317035411613,7.145228708891843,6.807271949881227,1.3736894082219988,20.940826892852783
SARIMAX,54607.75976746822,62993.58789179794,137.76225323644255,154.57889835616038,29.231114644354736,9.54083776473999
