model,config,description,feature_selection,MAE,RMSE,MAPE,sMAPE,MASE,training_time_seconds
catboost,catboost_balanced,,all,94.2302401398029,125.1296751004185,200033848931.98254,17.540097199997785,0.5806810513129651,0.42264604568481445
lightgbm,lightgbm_balanced,,all,80.49970528840613,108.11794850480352,136186293302.57573,15.33460692997476,0.4960684959297962,0.6317129135131836
prophet,prophet_balanced,,all,118.94272504641698,133.9551435974698,11060674203.54604,21.26792848593273,0.7329683817372348,21.6078097820282
xgboost,xgboost_price_optimized,,all,90.02525914266327,119.5224861398565,177641298233.93793,16.84229283317147,0.5547684272705408,0.6132547855377197
