model,config,description,feature_selection,MAE,RMSE,MAPE,sMAPE,MASE,training_time_seconds
catboost,catboost_balanced,Balanced performance and speed (recommended),all,419.09741955985845,694.089635877862,1.0062805179589023,1.0103037531390466,0.21695449095865532,4.402714967727661
lightgbm,lightgbm_deep,Deep leaf-wise trees,all,439.8467809880546,682.9985716448033,1.0682893625117158,1.0701456045384148,0.22769582921623552,13.436851978302002
prophet,prophet_light,"Conservative, low-variance Prophet",prophet_minimal,2078.844139014389,2646.4397120827475,5.664734436676076,5.431809779125203,1.076156881223254,16.31138586997986
