feature_selection,MASE_mean,MASE_std,MASE_min,sMAPE_mean,sMAPE_std,sMAPE_min,config_count
all,0.2273,0.0073,0.217,1.0607,0.0388,1.0103,4
demand_focused,0.2305,0.0034,0.2281,1.0812,0.0286,1.061,2
price_focused,0.2333,0.0011,0.2325,1.0871,0.0106,1.0797,2
prophet_extended,6.5259,,6.5259,27.1113,,27.1113,1
prophet_minimal,1.0762,,1.0762,5.4318,,5.4318,1
prophet_price,5.0546,,5.0546,21.7531,,21.7531,1
prophet_standard,4.1592,,4.1592,18.3144,,18.3144,1
prophet_weather,4.1192,,4.1192,18.1568,,18.1568,1
top_50,0.2411,0.0057,0.237,1.1427,0.0253,1.1248,2
