model,config,description,feature_selection,MAE,RMSE,MAPE,sMAPE,MASE,training_time_seconds
catboost,catboost_demand_optimized,,all,75.16384183198839,98.14948878766442,223.70234716827943,16.89036489670158,0.47633397099728025,0.800957202911377
lightgbm,lightgbm_light,,all,70.29453927538891,91.49654118391243,189.21264294643902,15.907736642200849,0.4454758593542278,0.3204324245452881
prophet,prophet_light,,all,106.85860243956263,132.476570997841,272.8844822829397,21.640915790936674,0.6771923998913296,114.26709461212158
xgboost,xgboost_light,,all,76.08457239875223,94.68605350811158,164.4330591561954,16.76992236726175,0.4821688942315866,0.40984225273132324
