model,config,description,feature_selection,MAE,RMSE,MAPE,sMAPE,MASE,training_time_seconds
lightgbm,lightgbm_balanced,,all,80.49970528840613,108.11794850480352,136186293302.57573,15.33460692997476,0.4960684959297962,0.6317129135131836
lightgbm,lightgbm_demand_optimized,,all,82.03577144684434,111.05100433406699,148409259475.7647,15.627487040348573,0.5055342949179428,0.6976301670074463
lightgbm,lightgbm_light,,all,85.76778279140922,119.58030223635114,178455648608.83832,16.34726713424037,0.5285323077412006,0.3210902214050293
xgboost,xgboost_price_optimized,,all,90.02525914266327,119.5224861398565,177641298233.93793,16.84229283317147,0.5547684272705408,0.6132547855377197
catboost,catboost_balanced,,all,94.2302401398029,125.1296751004185,200033848931.98254,17.540097199997785,0.5806810513129651,0.42264604568481445
catboost,catboost_demand_optimized,,all,94.25927677807027,125.18141746751358,200093552548.99582,17.543016661494995,0.58085998565093,0.4477970600128174
xgboost,xgboost_deep,,all,94.42691877089584,118.83080324124316,163158803971.6288,17.274830762948227,0.5818930566533357,0.9886648654937744
xgboost,xgboost_balanced,,all,95.79894512615267,134.0177949389632,206872837100.14853,17.700392270247274,0.590347982643311,0.4060189723968506
catboost,catboost_price_optimized,,all,96.01234752710874,131.3699838454393,229350392939.24304,17.71682964003701,0.5916630459431182,0.6326930522918701
xgboost,xgboost_light,,all,97.76590230170031,135.15824959409616,195303035146.26505,17.84108718420275,0.6024690889770103,0.2654440402984619
xgboost,xgboost_demand_optimized,,all,99.76881401256296,137.94217688532592,208083337542.58972,18.326062111149984,0.6148117602492604,0.4432981014251709
catboost,catboost_deep,,all,100.03109901295467,134.6212568861681,219890546249.09778,18.220624027452466,0.6164280559261591,1.0356359481811523
lightgbm,lightgbm_deep,,all,104.81950617371203,144.7250034945509,218149757310.45312,18.883637081356333,0.6459359644287568,1.1164767742156982
lightgbm,lightgbm_price_optimized,,all,114.66443673001677,152.42110661087358,217018773526.685,20.14576896012965,0.7066040113005105,0.8424975872039795
prophet,prophet_balanced,,all,118.94272504641698,133.9551435974698,11060674203.54604,21.26792848593273,0.7329683817372348,21.6078097820282
prophet,prophet_demand_optimized,,all,119.55289656558263,134.51554338928383,10931076926.649649,21.353861984636453,0.7367284808169429,23.22363805770874
prophet,prophet_flexible,,all,120.24153576225699,135.17788554114938,10947818391.970108,21.443429841152096,0.7409721262974903,25.2967369556427
prophet,prophet_price_optimized,,all,120.34966327098768,135.23997271789037,10963687117.040558,21.4641143838403,0.7416384473782011,23.391558170318604
catboost,catboost_light,,all,121.6064607414512,144.2463930245448,199158008026.4138,21.300210441930382,0.7493832910223803,0.29839301109313965
prophet,prophet_light,,all,261.65920629538124,316.9241859732085,273427152542.32892,35.55805180241058,1.6124393058098367,22.762797832489014
