model,config,description,feature_selection,MAE,RMSE,MAPE,sMAPE,MASE,training_time_seconds
catboost,catboost_demand_optimized,Optimized for demand patterns,demand_focused,446.56690234271804,725.9340768311918,1.0630057307595948,1.0692345887632462,0.2311746397257647,4.630791902542114
lightgbm,lightgbm_deep,Deep leaf-wise trees,all,455.34910350895416,718.0680064714714,1.0896178408014852,1.0945883475381173,0.23572092871393904,10.91827392578125
prophet,prophet_light,"Conservative, low-variance Prophet",prophet_minimal,2085.1326083969766,2654.4309980631156,5.683569613299704,5.448209146244417,1.0794122381167448,24.213576078414917
