model,config,description,feature_selection,MAE,RMSE,MAPE,sMAPE,MASE,training_time_seconds
catboost,catboost_deep,Deep trees for complex patterns,all,456.486021060423,726.9605436171257,1.1003981216390075,1.1082459568049028,0.23913189485140174,15.309982061386108
lightgbm,lightgbm_balanced,Balanced LightGBM (recommended),all,428.0106363601247,646.9134983576487,1.0596014199439259,1.063409688618938,0.22421495898513646,7.001724004745483
prophet,prophet_light,"Conservative, low-variance Prophet",prophet_minimal,5039.219988602356,5602.122944986121,12.626347034719739,13.604356340624154,2.639814077215817,15.93740200996399
xgboost,xgboost_price_optimized,Handles price spikes better,price_focused,464.4027237742303,726.5333939941892,1.1317379646535215,1.137543612134972,0.24327908892435537,1.2990708351135254
