model,config,description,feature_selection,MAE,RMSE,MAPE,sMAPE,MASE,training_time_seconds
catboost,catboost_demand_optimized,Optimized for demand patterns,demand_focused,426.948621953907,697.7084607412953,1.0281921165994237,1.0319933090948854,0.22101882907985648,7.49891471862793
lightgbm,lightgbm_deep,Deep leaf-wise trees,all,435.82230592850675,675.3316633267611,1.0597388535276961,1.061310089481657,0.2256124760454215,7.403830051422119
prophet,prophet_light,"Conservative, low-variance Prophet",prophet_minimal,2069.218715419355,2634.604495720054,5.635912073008294,5.406591970120577,1.0711740806168575,50.80687165260315
xgboost,xgboost_balanced,Standard XGBoost (recommended),all,434.54645568054065,656.9810019378557,1.0610502673838693,1.0623503248321733,0.22495200564362886,4.175252437591553
