model,config,description,feature_selection,MAE,RMSE,MAPE,sMAPE,MASE,training_time_seconds
catboost,catboost_deep,,all,78.29953905215244,105.198523640485,294.19419012197244,17.052574835864306,0.4962057480688216,1.1406269073486328
lightgbm,lightgbm_light,,all,70.29453927538891,91.49654118391243,189.212642946439,15.907736642200845,0.4454758593542277,0.3567039966583252
prophet,prophet_light,,all,108.34709532382509,133.9359113433919,269.28092511285746,21.892021760209897,0.6866253893325396,32.582438707351685
