model,config,description,feature_selection,MAE,RMSE,MAPE,sMAPE,MASE,training_time_seconds
catboost,catboost_demand_optimized,Optimized for demand patterns,demand_focused,457.90315598250436,744.7924857031809,1.0885667720002297,1.0948773232422553,0.23704308706762856,5.267110109329224
lightgbm,lightgbm_deep,Deep leaf-wise trees,all,455.3338622571522,717.8497959761471,1.0895917386803586,1.0945571652735797,0.23571303876312585,10.93203091621399
prophet,prophet_light,"Conservative, low-variance Prophet",prophet_minimal,2072.8016669841813,2639.208061161627,5.646437348370884,5.4158087137869035,1.0730288699727377,18.391584157943726
