feature_selection,MASE_mean,MASE_std,MASE_min,sMAPE_mean,sMAPE_std,sMAPE_min,config_count
all,0.2439,0.0153,0.2242,1.1412,0.067,1.0634,6
demand_focused,0.2468,0.0128,0.2321,1.1528,0.0518,1.0929,3
price_focused,0.241,0.0096,0.2304,1.1262,0.035,1.0869,3
prophet_extended,6.0528,,6.0528,34.3524,,34.3524,1
prophet_minimal,2.6398,,2.6398,13.6044,,13.6044,1
prophet_price,5.8909,,5.8909,33.3302,,33.3302,1
prophet_standard,5.7966,,5.7966,32.7425,,32.7425,1
prophet_weather,5.8548,,5.8548,33.1344,,33.1344,1
top_50,0.2659,0.0139,0.2506,1.2594,0.0675,1.1849,3
