DATE,TUFE_mom,UFE_mom,M2_yoy,TL_FAIZ_lvl,pi_hat_monthly,DID_index
2020-01,,,,9.636,0.006790748170028657,59.94522369903237
2020-02,0.003516631201702314,0.023294603764286492,,9.2875,0.006244842567781215,60.31957218372325
2020-03,0.00571403062363296,0.01952285693116984,,9.3575,0.00723986965403239,60.75627802392041
2020-04,0.008544542589551396,0.025253442825478922,,9.19,0.010212018331801773,61.37672224887273
2020-05,0.013621459850802209,0.0024099801531043408,,7.653999999999999,0.009452517214474501,61.95688677249823
2020-06,0.011332551778038269,-0.016033800028284473,,7.3825,0.00432117093251853,62.22461307068889
2020-07,0.005838914648806481,-0.012809687213668486,,7.343999999999999,0.0010698769707853592,62.29118575122925
2020-08,0.008643503500085359,-0.000800757079420622,,8.975,0.005128803764987016,62.61066501923566
2020-09,0.009733183809060186,0.006593326533585797,,10.2875,0.008340297637496902,63.13285660077769
2020-10,0.02131137235179481,0.03028987080664436,,11.040000000000001,0.020931308862972273,64.45430992169032
2020-11,0.02298001559358198,0.04157007376185473,,13.08,0.0242858796397662,66.01963953471268
2020-12,0.012495487183601384,0.02527526261655444,,15.094999999999999,0.014576703287604697,66.98198823136481
2021-01,0.016818208831045345,0.024833075683320827,0.3388993402517879,16.36,0.01641897116997244,68.08176356504302
2021-02,0.009078511591662064,0.025739777906155892,0.30104029846169156,16.2175,0.011099104764152875,68.83741019137972
2021-03,0.010753726156459864,0.011279724655819612,0.31238331831751665,16.8125,0.009694678767638548,69.50476677038132
2021-04,0.01678986877542843,0.021271329342058554,0.22819429424550397,17.784,0.014482900943337863,70.51139742260656
2021-05,0.008885632702133828,0.002908385845855621,0.25964386883776536,17.8925,0.006862608799852822,70.99528955904887
2021-06,0.019420910529746038,0.008760270662155456,0.25407766932023823,17.92,0.014715237640551132,72.04000211627
2021-07,0.018046321326806503,0.027744505000898423,0.211099355950489,17.886000000000003,0.01716672177455978,73.27669278923871
2021-08,0.011195636572412848,0.03181771827333524,0.19342702402199108,17.96,0.013056974183552582,74.23346467524391
2021-09,0.012526614620298027,0.004955877162019062,0.22016945644720143,18.04,0.009847216318270392,74.96445765995571
2021-10,0.023937195527985233,0.019234011464538625,0.24156673313955035,16.916,0.02145764406351253,76.57301830983731
2021-11,0.035117743702081095,0.039189468605693056,0.5150502641554171,15.37,0.04127809146521073,79.73380636339802
2021-12,0.13575491038952459,0.15989282113864278,0.5355822149885607,16.426,0.1314686694576717,90.2163037967896
2022-01,0.11104156052114411,0.1089750920610233,0.5547907152669855,17.6675,0.10844709649430988,100.0
2022-02,0.04808511195838738,0.08412824452671419,0.5956125265888228,16.7925,0.05941146704748135,105.94114670474816
2022-03,0.054642281199605014,0.04728476443226892,0.6196702848117819,15.625,0.05575434339616627,111.84782577790831
2022-04,0.07248352377791467,0.1338147138964576,0.6492578407491514,15.691999999999998,0.08004598198644089,120.80079482534936
2022-05,0.02980802175090358,0.016349843390770058,0.7073482342186475,15.5225,0.03263328606593087,124.74292171987679
2022-06,0.049519189490855986,0.02089474596844121,0.7079964931060865,16.259999999999998,0.04261684175572432,130.05907107495946
2022-07,0.02365272522752848,0.031515151515151496,0.8288844609886197,17.378,0.027556668323950186,133.64306575909316
2022-08,0.014604956894398669,0.008539971708069194,0.89539065285,16.9425,0.017515082864362007,135.98383513011106
2022-09,0.030758627479939182,0.019718288954196028,0.8717983606114801,15.91,0.030331773495216267,140.10846601628842
2022-10,0.035447850299458405,0.05090062224809877,0.8246204050923684,15.6625,0.039334862475641746,145.61961325871226
2022-11,0.028837638376383756,0.057472697179343335,0.56745523360836,16.065,0.0340076859915198,150.57179934062108
2022-12,0.011826838584724664,0.01855296074604773,0.6070987525022211,17.186,0.018307030289999332,153.32832183196953
2023-01,0.06648943240728422,0.06617330307141356,0.6395196207551126,17.945,0.06184013427518702,162.8101658422476
2023-02,0.03145046033170473,0.07355433202872952,0.6297039460340181,19.0875,0.041206696881811215,169.51903499538653
2023-03,0.022894798321155596,0.03837209302325584,0.5918281064132891,19.746000000000002,0.027349122392182516,174.15523183128005
2023-04,0.02385508958456395,0.03946421712622605,0.6177156253053768,20.9825,0.02601514577636687,178.68590557508776
2023-05,0.0004307559767391389,0.007098768644676401,0.5146420690344697,23.2775,0.00585171082463181,179.73152382295066
2023-06,0.03920498231585423,0.03023099581416977,0.6916170340885672,29.926,0.03947204439194713,186.82589450992248
2023-07,0.09488824273633267,0.07708166131621197,0.6541223924514235,27.482499999999998,0.08790328204703214,203.2485038087173
2023-08,0.09086793166828855,0.08475878673850978,0.6521920058133539,24.9775,0.08711417532292366,220.95432960363178
2023-09,0.04753114333678177,0.03315631077547909,0.6553632356442214,33.418,0.04744678496191582,231.43790216673958
2023-10,0.03433981455199153,0.03202991896945773,0.653399879066914,37.5075,0.03533510457958547,239.6157846434812
2023-11,0.032810972437411046,0.02775429017788844,0.6579144013410703,40.8025,0.032924482755805014,247.50501041299418
2023-12,0.029272073069471327,0.048109507896149095,0.6645980829768396,45.638,0.0357976665207398,256.3651122379708
2024-01,0.06703309705385663,0.05189305164635116,0.6252876415807236,46.23,0.06161827049157105,272.1618870684521
2024-02,0.045291882138285056,0.08250122595180054,0.620735062510414,46.735,0.052670722720711965,286.4968503573802
2024-03,0.03162670935637535,0.03403461893241322,0.5814129981131841,50.992000000000004,0.03365713050775527,296.1395122399194
2024-04,0.03179759473140553,0.027815961320512228,0.5227056138635977,59.542500000000004,0.030922682514524288,305.2969403569205
