datetime,temp_national,humidity_national,wind_speed_national,apparent_temp_national,precipitation_national,cloud_cover_national,temp_std
2020-01-01 00:00:00+03:00,1.9574661,47.11022,3.6188803,0.6124522,0.0,28.460402,2.040934
2020-01-01 01:00:00+03:00,1.9966509,46.622723,3.7994652,0.61599845,0.0,32.9226,1.9361763
2020-01-01 02:00:00+03:00,2.142021,46.290737,4.0170407,0.746602,0.0,24.798197,1.8176651
2020-01-01 03:00:00+03:00,2.200356,44.984493,4.5428467,0.69922525,0.00685,29.558,2.1630394
2020-01-01 04:00:00+03:00,1.9684461,44.521038,4.2479653,0.45716208,0.00685,33.0781,2.1543741
2020-01-01 05:00:00+03:00,2.050756,43.246777,4.2624526,0.5135795,0.00685,35.067905,2.3586073
2020-01-01 06:00:00+03:00,2.010056,42.340088,4.3222475,0.43153015,0.00685,35.9936,2.4648712
2020-01-01 07:00:00+03:00,1.8347111,42.66387,4.1892967,0.25788707,0.01833,37.561905,2.5626106
2020-01-01 08:00:00+03:00,1.798946,44.71665,3.97072,0.30588523,0.11625001,38.435795,2.655102
2020-01-01 09:00:00+03:00,2.0931113,45.863037,4.2674103,0.6413577,0.094620004,37.3501,2.6623697
2020-01-01 10:00:00+03:00,2.5701761,44.708065,4.144316,1.1914186,0.123,39.2762,2.8806493
2020-01-01 11:00:00+03:00,3.104601,42.024155,4.21378,1.730454,0.09381,39.114998,3.525401
2020-01-01 12:00:00+03:00,3.4578261,37.65459,5.8682346,1.754557,0.06792,41.2412,4.0030513
2020-01-01 13:00:00+03:00,3.6779463,34.75715,7.0686965,1.7359824,0.03624,41.6292,4.155425
2020-01-01 14:00:00+03:00,3.8389862,33.204674,8.117412,1.7139244,0.046280004,34.6727,4.2051816
2020-01-01 15:00:00+03:00,3.765356,34.2035,8.270522,1.6245183,0.048250005,29.7442,4.5684533
2020-01-01 16:00:00+03:00,3.676501,34.544228,8.468492,1.5051513,0.05741,27.108799,4.56399
2020-01-01 17:00:00+03:00,3.274206,36.91401,8.3574505,1.1384583,0.034980003,26.7797,4.0135922
2020-01-01 18:00:00+03:00,2.820806,38.739906,7.6311984,0.77340007,0.027530001,25.823301,3.6028037
2020-01-01 19:00:00+03:00,2.6005313,39.811214,7.1080046,0.62774366,0.023750002,28.271797,3.301357
2020-01-01 20:00:00+03:00,2.4975212,39.758286,7.473701,0.45445114,0.033940002,27.3582,3.2371733
2020-01-01 21:00:00+03:00,2.327796,40.112217,7.5482507,0.2557976,0.04141,28.142902,3.333954
2020-01-01 22:00:00+03:00,2.269311,40.151653,7.5754824,0.19022197,0.05854,27.0146,3.2998588
2020-01-01 23:00:00+03:00,2.165356,40.550625,8.397618,-0.03429396,0.03585,28.522,3.207468
2020-01-02 00:00:00+03:00,1.9714861,42.103638,8.1595545,-0.17920162,0.03585,33.6946,3.1344275
2020-01-02 01:00:00+03:00,1.8801261,42.205822,8.347452,-0.30972785,0.066240005,26.9994,3.127517
2020-01-02 02:00:00+03:00,1.8091661,42.1335,7.5988073,-0.2864919,0.04293,25.0919,3.051997
