,kontratTuru,kontratAdi,clearingQuantityAsk,clearingQuantityBid
168757,Blok,PB23040201-01,353.5,353.5
168758,Saatlik,PH23040201,623.5,623.5
168760,Blok,PB23040202-01,499.6,499.6
168761,Blok,PB23040202-02,50.0,50.0
168762,Saatlik,PH23040202,635.8,635.8
168765,Blok,PB23040203-01,569.9,569.9
168766,Saatlik,PH23040203,458.1,458.1
168768,Blok,PB23040204-01,580.1,580.1
168769,Blok,PB23040204-03,75.0,75.0
168770,Saatlik,PH23040204,361.6,361.6
168773,Blok,PB23040205-01,525.8,525.8
168774,Blok,PB23040205-02,200.0,200.0
168775,Saatlik,PH23040205,837.3,837.3
168779,Blok,PB23040206-01,589.8,589.8
168780,Saatlik,PH23040206,1114.1,1114.1
168782,Blok,PB23040207-01,552.3,552.3
168783,Blok,PB23040207-05,12.0,12.0
168784,Blok,PB23040207-06,100.0,100.0
168785,Blok,PB23040207-08,201.0,201.0
168786,Saatlik,PH23040207,434.5,434.5
168791,Blok,PB23040208-01,619.9,619.9
168792,Blok,PB23040208-03,17.0,17.0
168793,Saatlik,PH23040208,967.5,967.5
168799,Blok,PB23040209-01,670.7,670.7
168800,Saatlik,PH23040209,832.7,832.7
168806,Blok,PB23040210-01,631.8,631.8
168807,Blok,PB23040210-03,0.2,0.2
168808,Saatlik,PH23040210,455.7,455.7
168814,Blok,PB23040211-01,754.4,754.4
168815,Blok,PB23040211-02,0.2,0.2
168816,Saatlik,PH23040211,461.8,461.8
168822,Blok,PB23040212-01,710.8,710.8
168823,Saatlik,PH23040212,824.9,824.9
168826,Blok,PB23040213-01,685.2,685.2
168827,Blok,PB23040213-04,6.0,6.0
168828,Saatlik,PH23040213,1240.9,1240.9
168832,Blok,PB23040214-01,729.1,729.1
168833,Saatlik,PH23040214,1702.4,1702.4
168836,Blok,PB23040215-01,791.7,791.7
168837,Saatlik,PH23040215,1418.2,1418.2
168840,Blok,PB23040216-01,814.6,814.6
168841,Blok,PB23040216-02,10.0,10.0
168842,Blok,PB23040216-03,4.0,4.0
168843,Saatlik,PH23040216,1484.0,1484.0
168847,Blok,PB23040217-01,838.7,838.7
168848,Saatlik,PH23040217,2293.0,2293.0
168851,Blok,PB23040218-01,820.3,820.3
168852,Blok,PB23040218-02,0.8,0.8
168853,Saatlik,PH23040218,1613.2,1613.2
168856,Blok,PB23040219-01,988.6,988.6
168857,Blok,PB23040219-03,5.0,5.0
168858,Saatlik,PH23040219,1162.9,1162.9
168861,Blok,PB23040220-01,1456.5,1456.5
168862,Saatlik,PH23040220,2021.0,2021.0
168865,Blok,PB23040221-01,1424.6,1424.6
