,kontratTuru,kontratAdi,clearingQuantityAsk,clearingQuantityBid
0,Blok,PB20010100-01,613.8,613.8
1,Saatlik,PH20010100,367.4,367.4
2,Blok,PB20010101-01,604.5,604.5
3,Saatlik,PH20010101,312.3,312.3
4,Blok,PB20010102-01,583.8,583.8
5,Saatlik,PH20010102,412.8,412.8
6,Blok,PB20010103-01,558.4,558.4
7,Saatlik,PH20010103,610.2,610.2
8,Blok,PB20010104-01,510.1,510.1
9,Saatlik,PH20010104,253.9,253.9
10,Blok,PB20010105-01,515.0,515.0
11,Saatlik,PH20010105,417.7,417.7
12,Blok,PB20010106-01,462.0,462.0
13,Saatlik,PH20010106,336.9,336.9
14,Blok,PB20010107-01,129.1,129.1
15,Blok,PB20010107-04,10.0,10.0
16,Saatlik,PH20010107,539.5,539.5
18,Blok,PB20010108-01,165.1,165.1
19,Saatlik,PH20010108,444.6,444.6
21,Blok,PB20010109-01,214.2,214.2
22,Saatlik,PH20010109,494.1,494.1
24,Blok,PB20010110-01,241.9,241.9
25,Saatlik,PH20010110,829.3,829.3
26,Blok,PB20010111-01,280.2,280.2
27,Blok,PB20010111-09,5.0,5.0
28,Saatlik,PH20010111,639.8,639.8
30,Blok,PB20010112-01,223.0,223.0
31,Saatlik,PH20010112,739.6,739.6
33,Blok,PB20010113-01,417.9,417.9
34,Blok,PB20010113-03,0.5,0.5
35,Saatlik,PH20010113,699.7,699.7
38,Blok,PB20010114-01,215.0,215.0
39,Blok,PB20010114-02,4.0,4.0
40,Blok,PB20010114-04,0.5,0.5
41,Saatlik,PH20010114,646.8,646.8
46,Blok,PB20010115-01,262.4,262.4
47,Saatlik,PH20010115,755.5,755.5
50,Blok,PB20010116-01,318.9,318.9
51,Blok,PB20010116-08,2.0,2.0
52,Saatlik,PH20010116,976.0,976.0
56,Blok,PB20010117-01,290.9,290.9
57,Saatlik,PH20010117,1016.9,1016.9
60,Blok,PB20010118-01,244.2,244.2
61,Blok,PB20010118-04,1.0,1.0
62,Saatlik,PH20010118,1064.0,1064.0
66,Blok,PB20010119-01,197.7,197.7
67,Saatlik,PH20010119,1001.3,1001.3
70,Blok,PB20010120-01,179.9,179.9
71,Blok,PB20010120-04,5.9,5.9
72,Saatlik,PH20010120,820.9,820.9
76,Blok,PB20010121-01,441.7,441.7
77,Saatlik,PH20010121,1106.2,1106.2
80,Blok,PB20010122-01,344.1,344.1
81,Saatlik,PH20010122,1269.4,1269.4
84,Blok,PB20010123-01,357.1,357.1
85,Saatlik,PH20010123,1638.4,1638.4
86,Blok,PB20010200-01,251.5,251.5
87,Saatlik,PH20010200,349.6,349.6
88,Blok,PB20010201-01,219.2,219.2
89,Saatlik,PH20010201,328.6,328.6
90,Blok,PB20010202-01,232.5,232.5
91,Saatlik,PH20010202,335.4,335.4
92,Blok,PB20010203-01,215.6,215.6
93,Saatlik,PH20010203,244.3,244.3
94,Blok,PB20010204-01,214.4,214.4
95,Saatlik,PH20010204,277.5,277.5
96,Blok,PB20010205-01,212.9,212.9
97,Blok,PB20010205-05,2.0,2.0
98,Saatlik,PH20010205,365.5,365.5
100,Blok,PB20010206-01,239.0,239.0
101,Saatlik,PH20010206,297.0,297.0
103,Blok,PB20010207-01,183.8,183.8
104,Saatlik,PH20010207,234.1,234.1
106,Blok,PB20010208-01,174.7,174.7
107,Blok,PB20010208-02,1.0,1.0
108,Saatlik,PH20010208,253.7,253.7
111,Blok,PB20010209-01,156.8,156.8
112,Blok,PB20010209-02,29.0,29.0
113,Saatlik,PH20010209,328.1,328.1
115,Blok,PB20010210-01,193.0,193.0
116,Saatlik,PH20010210,573.8,573.8
117,Blok,PB20010211-01,220.1,220.1
118,Blok,PB20010211-13,1.0,1.0
119,Saatlik,PH20010211,456.4,456.4
121,Blok,PB20010212-01,254.9,254.9
122,Blok,PB20010212-04,5.0,5.0
123,Saatlik,PH20010212,540.2,540.2
126,Blok,PB20010213-01,222.9,222.9
127,Saatlik,PH20010213,529.7,529.7
130,Blok,PB20010214-01,213.6,213.6
131,Saatlik,PH20010214,505.6,505.6
134,Blok,PB20010215-01,265.4,265.4
135,Saatlik,PH20010215,407.3,407.3
137,Blok,PB20010216-01,247.6,247.6
138,Blok,PB20010216-08,3.0,3.0
139,Saatlik,PH20010216,485.5,485.5
142,Blok,PB20010217-01,224.8,224.8
143,Saatlik,PH20010217,491.0,491.0
146,Blok,PB20010218-01,211.0,211.0
147,Saatlik,PH20010218,483.7,483.7
150,Blok,PB20010219-01,232.3,232.3
151,Saatlik,PH20010219,451.7,451.7
154,Blok,PB20010220-01,204.9,204.9
155,Saatlik,PH20010220,444.3,444.3
158,Blok,PB20010221-01,209.0,209.0
159,Saatlik,PH20010221,517.8,517.8
162,Blok,PB20010222-01,224.2,224.2
163,Saatlik,PH20010222,500.1,500.1
166,Blok,PB20010223-01,245.6,245.6
167,Saatlik,PH20010223,739.4,739.4
168,Blok,PB20010300-01,161.2,161.2
169,Saatlik,PH20010300,334.5,334.5
170,Blok,PB20010301-01,181.2,181.2
171,Blok,PB20010301-05,1.9,1.9
172,Saatlik,PH20010301,314.9,314.9
174,Blok,PB20010302-01,151.9,151.9
175,Saatlik,PH20010302,379.5,379.5
177,Blok,PB20010303-01,157.9,157.9
178,Blok,PB20010303-03,13.5,13.5
179,Saatlik,PH20010303,323.5,323.5
182,Blok,PB20010304-01,172.2,172.2
183,Blok,PB20010304-06,0.7,0.7
184,Saatlik,PH20010304,302.0,302.0
188,Blok,PB20010305-01,177.6,177.6
189,Saatlik,PH20010305,302.7,302.7
191,Blok,PB20010306-01,160.8,160.8
192,Blok,PB20010306-02,2.0,2.0
193,Saatlik,PH20010306,283.8,283.8
196,Blok,PB20010307-01,183.6,183.6
197,Saatlik,PH20010307,255.5,255.5
199,Blok,PB20010308-01,186.7,186.7
200,Saatlik,PH20010308,271.8,271.8
202,Blok,PB20010309-01,203.4,203.4
203,Saatlik,PH20010309,184.6,184.6
204,Blok,PB20010310-01,196.7,196.7
205,Saatlik,PH20010310,214.1,214.1
206,Blok,PB20010311-01,206.6,206.6
207,Saatlik,PH20010311,277.4,277.4
208,Blok,PB20010312-01,213.3,213.3
209,Saatlik,PH20010312,338.3,338.3
210,Blok,PB20010313-01,140.7,140.7
211,Saatlik,PH20010313,342.3,342.3
212,Blok,PB20010314-01,140.1,140.1
213,Saatlik,PH20010314,295.3,295.3
214,Blok,PB20010315-01,173.1,173.1
215,Saatlik,PH20010315,261.5,261.5
216,Blok,PB20010316-01,137.7,137.7
217,Saatlik,PH20010316,329.2,329.2
218,Blok,PB20010317-01,171.8,171.8
219,Saatlik,PH20010317,323.0,323.0
220,Blok,PB20010318-01,186.4,186.4
221,Blok,PB20010318-03,4.0,4.0
222,Saatlik,PH20010318,278.9,278.9
224,Blok,PB20010319-01,185.8,185.8
225,Saatlik,PH20010319,259.2,259.2
227,Blok,PB20010320-01,214.1,214.1
228,Saatlik,PH20010320,257.1,257.1
229,Blok,PB20010321-01,228.9,228.9
230,Saatlik,PH20010321,239.4,239.4
231,Blok,PB20010322-01,240.2,240.2
232,Saatlik,PH20010322,246.4,246.4
233,Blok,PB20010323-01,231.5,231.5
234,Saatlik,PH20010323,329.6,329.6
235,Blok,PB20010400-01,236.8,236.8
236,Blok,PB20010400-06,10.0,10.0
237,Blok,PB20010400-24,120.5,120.5
238,Saatlik,PH20010400,206.9,206.9
241,Blok,PB20010401-01,228.0,228.0
242,Saatlik,PH20010401,272.6,272.6
245,Blok,PB20010402-01,270.3,270.3
246,Saatlik,PH20010402,247.8,247.8
249,Blok,PB20010403-01,197.1,197.1
250,Saatlik,PH20010403,250.0,250.0
253,Blok,PB20010404-01,203.8,203.8
254,Saatlik,PH20010404,198.0,198.0
257,Blok,PB20010405-01,217.1,217.1
258,Saatlik,PH20010405,177.8,177.8
260,Blok,PB20010406-01,229.8,229.8
261,Saatlik,PH20010406,184.5,184.5
263,Blok,PB20010407-01,221.6,221.6
264,Saatlik,PH20010407,138.8,138.8
266,Blok,PB20010408-01,215.3,215.3
267,Saatlik,PH20010408,185.5,185.5
269,Blok,PB20010409-01,185.8,185.8
270,Saatlik,PH20010409,142.1,142.1
272,Blok,PB20010410-01,186.3,186.3
273,Saatlik,PH20010410,126.4,126.4
275,Blok,PB20010411-01,218.2,218.2
276,Saatlik,PH20010411,199.9,199.9
278,Blok,PB20010412-01,283.5,283.5
279,Saatlik,PH20010412,307.2,307.2
281,Blok,PB20010413-01,248.0,248.0
282,Saatlik,PH20010413,276.7,276.7
284,Blok,PB20010414-01,208.4,208.4
285,Saatlik,PH20010414,496.7,496.7
287,Blok,PB20010415-01,173.9,173.9
288,Saatlik,PH20010415,325.2,325.2
290,Blok,PB20010416-01,228.9,228.9
291,Saatlik,PH20010416,442.3,442.3
293,Blok,PB20010417-01,171.4,171.4
294,Saatlik,PH20010417,682.4,682.4
296,Blok,PB20010418-01,154.9,154.9
297,Saatlik,PH20010418,522.5,522.5
299,Blok,PB20010419-01,164.3,164.3
300,Saatlik,PH20010419,238.2,238.2
302,Blok,PB20010420-01,159.1,159.1
303,Saatlik,PH20010420,351.9,351.9
305,Blok,PB20010421-01,239.2,239.2
306,Saatlik,PH20010421,273.2,273.2
308,Blok,PB20010422-01,225.9,225.9
309,Saatlik,PH20010422,380.6,380.6
311,Blok,PB20010423-01,206.0,206.0
312,Saatlik,PH20010423,392.8,392.8
313,Blok,PB20010500-01,159.2,159.2
314,Blok,PB20010500-04,30.0,30.0
315,Saatlik,PH20010500,168.6,168.6
317,Blok,PB20010501-01,157.2,157.2
318,Blok,PB20010501-02,20.0,20.0
319,Saatlik,PH20010501,217.9,217.9
322,Blok,PB20010502-01,202.5,202.5
323,Saatlik,PH20010502,319.7,319.7
325,Blok,PB20010503-01,210.5,210.5
326,Saatlik,PH20010503,302.0,302.0
327,Blok,PB20010504-01,87.9,87.9
328,Saatlik,PH20010504,262.4,262.4
329,Blok,PB20010505-01,90.9,90.9
330,Saatlik,PH20010505,422.7,422.7
331,Blok,PB20010506-01,115.3,115.3
332,Saatlik,PH20010506,482.3,482.3
333,Blok,PB20010507-01,116.1,116.1
334,Saatlik,PH20010507,415.9,415.9
335,Blok,PB20010508-01,121.1,121.1
336,Saatlik,PH20010508,339.5,339.5
337,Blok,PB20010509-01,165.1,165.1
338,Saatlik,PH20010509,434.9,434.9
339,Blok,PB20010510-01,202.5,202.5
340,Blok,PB20010510-02,9.0,9.0
341,Saatlik,PH20010510,179.3,179.3
343,Blok,PB20010511-01,207.9,207.9
344,Saatlik,PH20010511,354.5,354.5
345,Blok,PB20010512-01,174.7,174.7
346,Saatlik,PH20010512,418.5,418.5
347,Blok,PB20010513-01,138.5,138.5
348,Saatlik,PH20010513,472.1,472.1
349,Blok,PB20010514-01,202.4,202.4
350,Saatlik,PH20010514,433.1,433.1
351,Blok,PB20010515-01,181.7,181.7
352,Saatlik,PH20010515,466.6,466.6
353,Blok,PB20010516-01,200.4,200.4
354,Saatlik,PH20010516,392.8,392.8
355,Blok,PB20010517-01,285.6,285.6
356,Blok,PB20010517-05,2.5,2.5
357,Saatlik,PH20010517,253.5,253.5
359,Blok,PB20010518-01,286.5,286.5
360,Blok,PB20010518-02,25.0,25.0
361,Saatlik,PH20010518,282.1,282.1
364,Blok,PB20010519-01,322.5,322.5
365,Saatlik,PH20010519,252.6,252.6
367,Blok,PB20010520-01,331.0,331.0
368,Blok,PB20010520-04,7.0,7.0
369,Saatlik,PH20010520,314.8,314.8
372,Blok,PB20010521-01,337.6,337.6
373,Saatlik,PH20010521,531.0,531.0
375,Blok,PB20010522-01,328.0,328.0
376,Saatlik,PH20010522,779.6,779.6
378,Blok,PB20010523-01,304.4,304.4
379,Saatlik,PH20010523,1178.5,1178.5
380,Blok,PB20010600-01,154.7,154.7
381,Saatlik,PH20010600,294.2,294.2
382,Blok,PB20010601-01,210.4,210.4
383,Saatlik,PH20010601,443.0,443.0
384,Blok,PB20010602-01,180.2,180.2
385,Blok,PB20010602-02,10.0,10.0
386,Saatlik,PH20010602,549.0,549.0
388,Blok,PB20010603-01,171.4,171.4
389,Saatlik,PH20010603,469.3,469.3
390,Blok,PB20010604-01,183.8,183.8
391,Saatlik,PH20010604,417.2,417.2
392,Blok,PB20010605-01,214.9,214.9
393,Blok,PB20010605-02,10.0,10.0
394,Saatlik,PH20010605,519.5,519.5
396,Blok,PB20010606-01,183.1,183.1
397,Saatlik,PH20010606,411.7,411.7
398,Blok,PB20010607-01,225.2,225.2
399,Saatlik,PH20010607,511.1,511.1
400,Blok,PB20010608-01,224.0,224.0
401,Saatlik,PH20010608,300.8,300.8
402,Blok,PB20010609-01,233.5,233.5
403,Saatlik,PH20010609,187.6,187.6
404,Blok,PB20010610-01,253.6,253.6
405,Blok,PB20010610-02,0.7,0.7
406,Saatlik,PH20010610,139.3,139.3
408,Blok,PB20010611-01,283.3,283.3
409,Saatlik,PH20010611,170.0,170.0
410,Blok,PB20010612-01,292.5,292.5
411,Blok,PB20010612-02,0.9,0.9
412,Saatlik,PH20010612,250.9,250.9
414,Blok,PB20010613-01,280.1,280.1
415,Saatlik,PH20010613,593.2,593.2
416,Blok,PB20010614-01,292.0,292.0
417,Blok,PB20010614-03,3.0,3.0
418,Blok,PB20010614-08,0.6,0.6
419,Saatlik,PH20010614,516.2,516.2
422,Blok,PB20010615-01,326.2,326.2
423,Blok,PB20010615-02,4.0,4.0
424,Blok,PB20010615-03,5.0,5.0
425,Saatlik,PH20010615,427.2,427.2
430,Blok,PB20010616-01,301.5,301.5
431,Saatlik,PH20010616,465.2,465.2
434,Blok,PB20010617-01,361.0,361.0
435,Saatlik,PH20010617,409.5,409.5
437,Blok,PB20010618-01,327.2,327.2
438,Saatlik,PH20010618,589.9,589.9
440,Blok,PB20010619-01,383.7,383.7
441,Blok,PB20010619-02,5.0,5.0
442,Saatlik,PH20010619,436.8,436.8
445,Blok,PB20010620-01,340.0,340.0
446,Blok,PB20010620-04,10.0,10.0
447,Saatlik,PH20010620,322.3,322.3
450,Blok,PB20010621-01,334.4,334.4
451,Blok,PB20010621-02,3.0,3.0
452,Blok,PB20010621-03,10.0,10.0
453,Saatlik,PH20010621,370.3,370.3
457,Blok,PB20010622-01,448.9,448.9
458,Saatlik,PH20010622,453.7,453.7
461,Blok,PB20010623-01,552.2,552.2
462,Saatlik,PH20010623,992.5,992.5
463,Blok,PB20010700-01,298.4,298.4
464,Saatlik,PH20010700,509.1,509.1
465,Blok,PB20010701-01,297.5,297.5
466,Saatlik,PH20010701,580.7,580.7
467,Blok,PB20010702-01,381.4,381.4
468,Saatlik,PH20010702,497.6,497.6
469,Blok,PB20010703-01,360.0,360.0
470,Saatlik,PH20010703,390.8,390.8
471,Blok,PB20010704-01,288.5,288.5
472,Saatlik,PH20010704,422.9,422.9
473,Blok,PB20010705-01,301.6,301.6
474,Saatlik,PH20010705,322.0,322.0
475,Blok,PB20010706-01,283.3,283.3
476,Saatlik,PH20010706,558.5,558.5
477,Blok,PB20010707-01,278.3,278.3
478,Saatlik,PH20010707,463.4,463.4
479,Blok,PB20010708-01,344.6,344.6
480,Saatlik,PH20010708,317.1,317.1
481,Blok,PB20010709-01,287.4,287.4
482,Saatlik,PH20010709,347.7,347.7
483,Blok,PB20010710-01,353.2,353.2
484,Saatlik,PH20010710,485.2,485.2
485,Blok,PB20010711-01,413.8,413.8
486,Saatlik,PH20010711,599.2,599.2
487,Blok,PB20010712-01,376.9,376.9
488,Blok,PB20010712-02,2.0,2.0
489,Saatlik,PH20010712,998.5,998.5
491,Blok,PB20010713-01,414.1,414.1
492,Saatlik,PH20010713,955.9,955.9
493,Blok,PB20010714-01,400.3,400.3
494,Saatlik,PH20010714,939.1,939.1
495,Blok,PB20010715-01,354.2,354.2
496,Blok,PB20010715-03,2.0,2.0
497,Saatlik,PH20010715,931.6,931.6
499,Blok,PB20010716-01,326.3,326.3
500,Blok,PB20010716-02,4.0,4.0
501,Saatlik,PH20010716,944.6,944.6
504,Blok,PB20010717-01,282.3,282.3
505,Blok,PB20010717-02,22.0,22.0
506,Blok,PB20010717-07,0.1,0.1
507,Saatlik,PH20010717,703.8,703.8
510,Blok,PB20010718-01,311.2,311.2
511,Blok,PB20010718-04,2.0,2.0
512,Blok,PB20010718-06,43.0,43.0
513,Saatlik,PH20010718,845.7,845.7
517,Blok,PB20010719-01,322.1,322.1
518,Saatlik,PH20010719,721.3,721.3
522,Blok,PB20010720-01,376.7,376.7
523,Saatlik,PH20010720,600.3,600.3
527,Blok,PB20010721-01,361.7,361.7
528,Blok,PB20010721-02,12.0,12.0
529,Saatlik,PH20010721,664.5,664.5
533,Blok,PB20010722-01,356.3,356.3
534,Saatlik,PH20010722,649.0,649.0
537,Blok,PB20010723-01,391.3,391.3
538,Saatlik,PH20010723,821.8,821.8
539,Blok,PB20010800-01,217.2,217.2
540,Blok,PB20010800-03,4.6,4.6
541,Saatlik,PH20010800,214.4,214.4
543,Blok,PB20010801-01,250.0,250.0
544,Saatlik,PH20010801,184.9,184.9
546,Blok,PB20010802-01,281.4,281.4
547,Saatlik,PH20010802,145.3,145.3
548,Blok,PB20010803-01,255.9,255.9
549,Blok,PB20010803-02,3.0,3.0
550,Blok,PB20010803-04,1.6,1.6
551,Saatlik,PH20010803,99.5,99.5
554,Blok,PB20010804-01,252.1,252.1
555,Saatlik,PH20010804,87.2,87.2
557,Blok,PB20010805-01,272.4,272.4
558,Blok,PB20010805-02,2.0,2.0
559,Saatlik,PH20010805,85.1,85.1
562,Blok,PB20010806-01,288.0,288.0
563,Saatlik,PH20010806,113.5,113.5
564,Blok,PB20010807-01,262.1,262.1
565,Saatlik,PH20010807,143.8,143.8
566,Blok,PB20010808-01,280.0,280.0
567,Saatlik,PH20010808,125.9,125.9
568,Blok,PB20010809-01,260.2,260.2
569,Blok,PB20010809-02,2.0,2.0
570,Saatlik,PH20010809,143.3,143.3
572,Blok,PB20010810-01,239.4,239.4
573,Saatlik,PH20010810,203.9,203.9
574,Blok,PB20010811-01,207.3,207.3
575,Blok,PB20010811-02,2.0,2.0
576,Blok,PB20010811-06,2.0,2.0
577,Saatlik,PH20010811,460.0,460.0
580,Blok,PB20010812-01,233.3,233.3
581,Saatlik,PH20010812,341.8,341.8
583,Blok,PB20010813-01,281.4,281.4
584,Saatlik,PH20010813,435.5,435.5
586,Blok,PB20010814-01,247.7,247.7
587,Saatlik,PH20010814,475.0,475.0
589,Blok,PB20010815-01,289.3,289.3
590,Saatlik,PH20010815,423.0,423.0
592,Blok,PB20010816-01,317.1,317.1
593,Saatlik,PH20010816,508.7,508.7
594,Blok,PB20010817-01,311.6,311.6
595,Saatlik,PH20010817,491.8,491.8
596,Blok,PB20010818-01,272.6,272.6
597,Saatlik,PH20010818,420.5,420.5
598,Blok,PB20010819-01,294.4,294.4
599,Saatlik,PH20010819,326.5,326.5
600,Blok,PB20010820-01,301.7,301.7
601,Saatlik,PH20010820,298.2,298.2
602,Blok,PB20010821-01,284.8,284.8
603,Saatlik,PH20010821,1025.6,1025.6
604,Blok,PB20010822-01,245.4,245.4
605,Saatlik,PH20010822,991.2,991.2
606,Blok,PB20010823-01,273.2,273.2
607,Saatlik,PH20010823,877.3,877.3
608,Blok,PB20010900-01,168.0,168.0
609,Saatlik,PH20010900,167.4,167.4
610,Blok,PB20010901-01,208.5,208.5
611,Blok,PB20010901-03,5.0,5.0
612,Saatlik,PH20010901,212.4,212.4
614,Blok,PB20010902-01,219.7,219.7
615,Saatlik,PH20010902,168.4,168.4
617,Blok,PB20010903-01,199.9,199.9
618,Saatlik,PH20010903,165.9,165.9
619,Blok,PB20010904-01,210.9,210.9
620,Blok,PB20010904-04,4.5,4.5
621,Saatlik,PH20010904,169.8,169.8
623,Blok,PB20010905-01,228.2,228.2
624,Saatlik,PH20010905,224.1,224.1
626,Blok,PB20010906-01,222.3,222.3
627,Saatlik,PH20010906,267.3,267.3
629,Blok,PB20010907-01,228.2,228.2
630,Saatlik,PH20010907,272.4,272.4
631,Blok,PB20010908-01,224.6,224.6
632,Saatlik,PH20010908,228.7,228.7
633,Blok,PB20010909-01,284.3,284.3
634,Blok,PB20010909-03,2.5,2.5
635,Saatlik,PH20010909,239.8,239.8
637,Blok,PB20010910-01,309.4,309.4
638,Saatlik,PH20010910,296.8,296.8
640,Blok,PB20010911-01,238.6,238.6
641,Blok,PB20010911-13,2.0,2.0
642,Saatlik,PH20010911,490.5,490.5
644,Blok,PB20010912-01,200.7,200.7
645,Saatlik,PH20010912,649.5,649.5
647,Blok,PB20010913-01,227.8,227.8
648,Saatlik,PH20010913,751.7,751.7
650,Blok,PB20010914-01,244.2,244.2
651,Saatlik,PH20010914,583.5,583.5
653,Blok,PB20010915-01,223.9,223.9
654,Saatlik,PH20010915,572.4,572.4
656,Blok,PB20010916-01,196.2,196.2
657,Blok,PB20010916-02,0.7,0.7
658,Saatlik,PH20010916,462.6,462.6
661,Blok,PB20010917-01,285.1,285.1
662,Saatlik,PH20010917,464.8,464.8
664,Blok,PB20010918-01,253.2,253.2
665,Blok,PB20010918-02,4.0,4.0
666,Saatlik,PH20010918,537.9,537.9
669,Blok,PB20010919-01,280.7,280.7
670,Saatlik,PH20010919,314.5,314.5
672,Blok,PB20010920-01,272.2,272.2
673,Saatlik,PH20010920,310.3,310.3
675,Blok,PB20010921-01,292.9,292.9
676,Saatlik,PH20010921,330.3,330.3
678,Blok,PB20010922-01,278.9,278.9
679,Saatlik,PH20010922,291.8,291.8
681,Blok,PB20010923-01,290.0,290.0
682,Saatlik,PH20010923,367.4,367.4
683,Blok,PB20011000-01,246.6,246.6
684,Saatlik,PH20011000,217.7,217.7
685,Blok,PB20011001-01,256.5,256.5
686,Saatlik,PH20011001,232.4,232.4
687,Blok,PB20011002-01,254.6,254.6
688,Saatlik,PH20011002,311.3,311.3
689,Blok,PB20011003-01,227.7,227.7
690,Saatlik,PH20011003,210.4,210.4
691,Blok,PB20011004-01,238.9,238.9
692,Saatlik,PH20011004,160.3,160.3
693,Blok,PB20011005-01,228.1,228.1
694,Saatlik,PH20011005,192.8,192.8
695,Blok,PB20011006-01,215.0,215.0
696,Saatlik,PH20011006,243.6,243.6
697,Blok,PB20011007-01,197.0,197.0
698,Saatlik,PH20011007,226.9,226.9
699,Blok,PB20011008-01,222.8,222.8
700,Saatlik,PH20011008,170.4,170.4
701,Blok,PB20011009-01,207.3,207.3
702,Saatlik,PH20011009,189.7,189.7
703,Blok,PB20011010-01,213.2,213.2
704,Saatlik,PH20011010,400.1,400.1
705,Blok,PB20011011-01,221.8,221.8
706,Saatlik,PH20011011,422.1,422.1
707,Blok,PB20011012-01,274.3,274.3
708,Blok,PB20011012-12,0.5,0.5
709,Saatlik,PH20011012,526.9,526.9
711,Blok,PB20011013-01,309.1,309.1
712,Saatlik,PH20011013,534.4,534.4
714,Blok,PB20011014-01,244.8,244.8
715,Saatlik,PH20011014,599.7,599.7
717,Blok,PB20011015-01,241.6,241.6
718,Saatlik,PH20011015,644.9,644.9
720,Blok,PB20011016-01,246.2,246.2
721,Saatlik,PH20011016,421.7,421.7
723,Blok,PB20011017-01,312.0,312.0
724,Blok,PB20011017-03,70.0,70.0
725,Saatlik,PH20011017,1261.2,1261.2
728,Blok,PB20011018-01,256.6,256.6
729,Saatlik,PH20011018,350.2,350.2
732,Blok,PB20011019-01,259.1,259.1
733,Saatlik,PH20011019,511.8,511.8
735,Blok,PB20011020-01,233.8,233.8
736,Saatlik,PH20011020,456.4,456.4
738,Blok,PB20011021-01,219.3,219.3
739,Saatlik,PH20011021,479.5,479.5
741,Blok,PB20011022-01,232.0,232.0
742,Saatlik,PH20011022,738.2,738.2
744,Blok,PB20011023-01,345.0,345.0
745,Saatlik,PH20011023,690.7,690.7
746,Blok,PB20011100-01,117.6,117.6
747,Saatlik,PH20011100,259.2,259.2
748,Blok,PB20011101-01,129.2,129.2
749,Saatlik,PH20011101,210.0,210.0
750,Blok,PB20011102-01,113.4,113.4
751,Saatlik,PH20011102,210.9,210.9
752,Blok,PB20011103-01,82.9,82.9
753,Saatlik,PH20011103,207.9,207.9
754,Blok,PB20011104-01,79.9,79.9
755,Saatlik,PH20011104,271.8,271.8
756,Blok,PB20011105-01,68.4,68.4
757,Saatlik,PH20011105,285.9,285.9
758,Blok,PB20011106-01,87.7,87.7
759,Saatlik,PH20011106,253.4,253.4
760,Blok,PB20011107-01,127.2,127.2
761,Saatlik,PH20011107,205.6,205.6
762,Blok,PB20011108-01,91.8,91.8
763,Saatlik,PH20011108,239.9,239.9
764,Blok,PB20011109-01,84.2,84.2
765,Saatlik,PH20011109,235.2,235.2
766,Blok,PB20011110-01,93.4,93.4
767,Saatlik,PH20011110,258.9,258.9
768,Blok,PB20011111-01,80.1,80.1
769,Saatlik,PH20011111,303.0,303.0
770,Blok,PB20011112-01,83.4,83.4
771,Blok,PB20011112-04,4.0,4.0
772,Saatlik,PH20011112,473.1,473.1
774,Blok,PB20011113-01,56.1,56.1
775,Saatlik,PH20011113,526.6,526.6
777,Blok,PB20011114-01,101.2,101.2
778,Saatlik,PH20011114,619.2,619.2
780,Blok,PB20011115-01,133.1,133.1
781,Saatlik,PH20011115,631.4,631.4
782,Blok,PB20011116-01,100.1,100.1
783,Saatlik,PH20011116,522.9,522.9
784,Blok,PB20011117-01,93.4,93.4
785,Saatlik,PH20011117,402.8,402.8
786,Blok,PB20011118-01,85.0,85.0
787,Saatlik,PH20011118,490.6,490.6
788,Blok,PB20011119-01,110.5,110.5
789,Saatlik,PH20011119,439.2,439.2
790,Blok,PB20011120-01,125.2,125.2
791,Saatlik,PH20011120,407.3,407.3
792,Blok,PB20011121-01,109.5,109.5
793,Blok,PB20011121-03,2.0,2.0
794,Saatlik,PH20011121,298.3,298.3
796,Blok,PB20011122-01,105.5,105.5
797,Blok,PB20011122-02,14.0,14.0
798,Saatlik,PH20011122,297.7,297.7
801,Blok,PB20011123-01,106.3,106.3
802,Saatlik,PH20011123,408.2,408.2
803,Blok,PB20011200-01,85.0,85.0
804,Blok,PB20011200-11,2.0,2.0
805,Saatlik,PH20011200,136.6,136.6
807,Blok,PB20011201-01,79.0,79.0
808,Saatlik,PH20011201,116.7,116.7
810,Blok,PB20011202-01,92.0,92.0
811,Saatlik,PH20011202,147.4,147.4
813,Blok,PB20011203-01,115.3,115.3
814,Saatlik,PH20011203,163.7,163.7
816,Blok,PB20011204-01,104.3,104.3
817,Saatlik,PH20011204,68.7,68.7
819,Blok,PB20011205-01,103.8,103.8
820,Saatlik,PH20011205,47.9,47.9
822,Blok,PB20011206-01,111.2,111.2
823,Saatlik,PH20011206,85.2,85.2
825,Blok,PB20011207-01,141.7,141.7
826,Saatlik,PH20011207,214.1,214.1
828,Blok,PB20011208-01,211.6,211.6
829,Saatlik,PH20011208,65.9,65.9
831,Blok,PB20011209-01,128.0,128.0
832,Saatlik,PH20011209,180.2,180.2
834,Blok,PB20011210-01,190.5,190.5
835,Blok,PB20011210-02,17.0,17.0
836,Saatlik,PH20011210,56.4,56.4
838,Blok,PB20011211-01,186.4,186.4
839,Saatlik,PH20011211,148.5,148.5
840,Blok,PB20011212-01,237.8,237.8
841,Blok,PB20011212-07,1.5,1.5
842,Blok,PB20011212-11,5.0,5.0
843,Saatlik,PH20011212,195.0,195.0
846,Blok,PB20011213-01,173.4,173.4
847,Blok,PB20011213-11,9.0,9.0
848,Saatlik,PH20011213,140.2,140.2
852,Blok,PB20011214-01,152.6,152.6
853,Blok,PB20011214-02,0.2,0.2
854,Saatlik,PH20011214,253.1,253.1
859,Blok,PB20011215-01,190.3,190.3
860,Saatlik,PH20011215,224.4,224.4
864,Blok,PB20011216-01,159.4,159.4
865,Saatlik,PH20011216,248.9,248.9
