Type,Plant / Project name,Capacity (MW),Status,Start year,Latitude,Longitude,Location accuracy,City,GEM.Wiki URL
solar,Kmk Biyokutle Enerji Santrali solar project,11,operating,,37.783,36.8307,approximate,Kahramanmaras,https://www.gem.wiki/Kmk_Biyokutle_Enerji_Santrali_solar_project
solar,Kmk Paper Kutahya Kagit Fabrikasi Kojenerasyon Santrali solar project,8.6,operating,,39.2523,29.4938,approximate,Kutahya,https://www.gem.wiki/Kmk_Paper_Kutahya_Kagit_Fabrikasi_Kojenerasyon_Santrali_solar_project
solar,Kovancilar solar farm,15,operating,,38.674,39.8101,exact,,https://www.gem.wiki/Kovancilar_solar_farm
solar,Küçükköy solar farm,18.6,operating,2019,37.0777,30.2382,exact,,https://www.gem.wiki/Küçükköy_solar_farm
solar,Kulu solar project,4,operating,2016,39.156,33.1301,approximate,,https://www.gem.wiki/Kulu_solar_project
solar,Kumrular Biyogaz Santrali solar project,4.4,operating,,41.7078,27.6051,approximate,Kirklareli,https://www.gem.wiki/Kumrular_Biyogaz_Santrali_solar_project
solar,Kurtini Hybrid solar project,14.4,operating,,36.7978,34.6298,approximate,Mersin,https://www.gem.wiki/Kurtini_Hybrid_solar_project
solar,Kutluca solar project,11,operating,2018,40.4877,35.0813,approximate,,https://www.gem.wiki/Kutluca_solar_project
solar,Kuyucak Biyogaz Enerji Santrali solar project,2.2,operating,,37.8484,27.8436,approximate,Aydin,https://www.gem.wiki/Kuyucak_Biyogaz_Enerji_Santrali_solar_project
solar,Kuyucak Hybrid solar project,18.4,operating,,37.8484,27.8436,approximate,Aydin,https://www.gem.wiki/Kuyucak_Hybrid_solar_project
solar,Kuyulukoyak Hybrid solar project,16,operating,,38.0212,32.5225,approximate,Konya,https://www.gem.wiki/Kuyulukoyak_Hybrid_solar_project
solar,Ladik solar project,9.9,operating,2018,38.202,32.306,approximate,Ladik,https://www.gem.wiki/Ladik_solar_project
solar,Uşak Hybrid solar farm,82.1,operating,,38.8103,29.9467,exact,,https://www.gem.wiki/Uşak_Hybrid_solar_farm
solar,Taspinar solar farm,9.4,operating,2024,40.1,28.7463,approximate,,https://www.gem.wiki/Taspinar_solar_farm
solar,Greeneco Jes-6 solar farm,3.9,operating,,37.9548,37.7529,approximate,,https://www.gem.wiki/Greeneco_Jes-6_solar_farm
solar,Licensed (Kalehan Genç Enerji) solar farm,80,operating,2021,38.8283,40.6864,exact,,https://www.gem.wiki/Licensed_(Kalehan_Genç_Enerji)_solar_farm
solar,Bafa solar farm,5.5,operating,,37.5553,27.4598,exact,,https://www.gem.wiki/Bafa_solar_farm
solar,Licensed (Menderes Tekstil Sanayi) solar farm,19.5,operating,,41.0918,29.7895,approximate,Denizli,https://www.gem.wiki/Licensed_(Menderes_Tekstil_Sanayi)_solar_farm
solar,Mutlu 5 solar farm,25,operating,2022,38.1909,35.5405,approximate,,https://www.gem.wiki/Mutlu_5_solar_farm
solar,Akyel-1 solar farm,40,operating,2023,37.0073,36.3867,approximate,Osmaniye,https://www.gem.wiki/Akyel-1_solar_farm
solar,Malatya Ozguclu solar project,10,operating,2018,38.3813,38.4469,approximate,,https://www.gem.wiki/Malatya_Ozguclu_solar_project
solar,Manisa Biyogaz Enerji Uretim Santrali solar project,3.1,operating,,38.8574,28.0566,approximate,Manisa,https://www.gem.wiki/Manisa_Biyogaz_Enerji_Uretim_Santrali_solar_project
solar,Maras solar farm,7.2,operating,2017,38.408,37.2301,exact,,https://www.gem.wiki/Maras_solar_farm
solar,Maspo Jeotermal Enerji Tesisi Iv solar project,10,operating,,38.8574,28.0566,approximate,Manisa,https://www.gem.wiki/Maspo_Jeotermal_Enerji_Tesisi_Iv_solar_project
solar,Mavibayrak Dogu Biyokutle Enerji Santrali solar project,12.6,operating,,37.3611,40.8959,approximate,Mardin,https://www.gem.wiki/Mavibayrak_Dogu_Biyokutle_Enerji_Santrali_solar_project
solar,Mavibayrak-1 Biyokutle Enerji Santrali solar project,12.6,operating,,37.8484,27.8436,approximate,Aydin,https://www.gem.wiki/Mavibayrak-1_Biyokutle_Enerji_Santrali_solar_project
solar,Me-Se solar farm,9.9,operating,2018,38.3459,32.4106,exact,Konya,https://www.gem.wiki/Me-Se_solar_farm
solar,Merekler Reg. Ve Algolu Hybrid solar project,12.5,operating,,41.0373,42.7462,approximate,Ardahan,https://www.gem.wiki/Merekler_Reg._Ve_Algolu_Hybrid_solar_project
solar,Metges Burdur solar farm,10.5,operating,2021,37.6832,30.2539,exact,Burdur,https://www.gem.wiki/Metges_Burdur_solar_farm
solar,Mey Biyogaz Tesisi solar project,1.2,operating,,38.0665,34.7051,approximate,Nigde,https://www.gem.wiki/Mey_Biyogaz_Tesisi_solar_project
solar,MT solar farm (Türkiye),10,operating,2018,37.7985,34.183,exact,Konya,https://www.gem.wiki/MT_solar_farm_(Türkiye)
solar,Nacarli A solar project,5,operating,2017,36.9107,34.7843,approximate,Akdeniz,https://www.gem.wiki/Nacarli_A_solar_project
solar,Naturel & Esenboğa Energy solar farm,3.2,operating,,37.9246,29.8566,approximate,,https://www.gem.wiki/Naturel_&_Esenboğa_Energy_solar_farm
solar,Naturel & Esenboğa Energy solar farm,6,operating,,40.046,33.065,exact,,https://www.gem.wiki/Naturel_&_Esenboğa_Energy_solar_farm
solar,Naturel & Esenboğa Energy solar farm,6,operating,,40.073,33.1201,exact,,https://www.gem.wiki/Naturel_&_Esenboğa_Energy_solar_farm
solar,Naturel & Esenboğa Energy solar farm,2.4,operating,,39.9133,32.8342,approximate,,https://www.gem.wiki/Naturel_&_Esenboğa_Energy_solar_farm
solar,Naturel & Esenboğa Energy solar farm,2.4,operating,,39.9133,32.8342,approximate,,https://www.gem.wiki/Naturel_&_Esenboğa_Energy_solar_farm
solar,Naturel & Esenboğa Energy solar farm,3.1,operating,,39.9133,32.8342,approximate,,https://www.gem.wiki/Naturel_&_Esenboğa_Energy_solar_farm
solar,Naturel & Esenboğa Energy solar farm,1.2,operating,,39.9133,32.8342,approximate,,https://www.gem.wiki/Naturel_&_Esenboğa_Energy_solar_farm
solar,Naturel & Esenboğa Energy solar farm,2.1,operating,,40.0152,30.183,approximate,,https://www.gem.wiki/Naturel_&_Esenboğa_Energy_solar_farm
solar,Naturel & Esenboğa Energy solar farm,10.3,operating,,38.5471,34.5045,approximate,,https://www.gem.wiki/Naturel_&_Esenboğa_Energy_solar_farm
solar,Naturel & Esenboğa Energy solar farm,3.4,operating,,39.6625,35.8802,approximate,,https://www.gem.wiki/Naturel_&_Esenboğa_Energy_solar_farm
solar,Naturel & Esenboğa Energy solar farm,3.3,operating,,39.8116,35.1887,approximate,,https://www.gem.wiki/Naturel_&_Esenboğa_Energy_solar_farm
solar,Obruk Bes solar project,8,operating,2016,38.171,33.209,approximate,Karatay,https://www.gem.wiki/Obruk_Bes_solar_project
solar,Obruk solar project,12,operating,2018,38.1601,33.179,approximate,Karatay,https://www.gem.wiki/Obruk_solar_project
solar,Omicron Engil208 solar farm,10,operating,2018,38.3841,43.2018,exact,Van,https://www.gem.wiki/Omicron_Engil208_solar_farm
solar,Omicron Erciş solar farm,10,operating,2018,38.325,43.659,approximate,Van,https://www.gem.wiki/Omicron_Erciş_solar_farm
solar,Osmancik Hybrid solar project,9.4,operating,,40.6569,35.7727,approximate,Amasya,https://www.gem.wiki/Osmancik_Hybrid_solar_project
solar,Ova Hybrid solar project,13.5,operating,,40.7732,30.4816,approximate,Sakarya,https://www.gem.wiki/Ova_Hybrid_solar_project
solar,Özguclu solar farm,14,operating,,37.486,38.1868,exact,Adiyaman,https://www.gem.wiki/Özguclu_solar_farm
solar,Özkoyuncu Mining solar farm,40,operating,,39.693,27.797,exact,,https://www.gem.wiki/Özkoyuncu_Mining_solar_farm
solar,Özmen-1 solar farm,14,operating,2020,37.2745,27.667,exact,,https://www.gem.wiki/Özmen-1_solar_farm
solar,Ozmen-3 Hybrid solar project,19,operating,,38.8574,28.0566,approximate,Manisa,https://www.gem.wiki/Ozmen-3_Hybrid_solar_project
solar,Palabiyik solar project,10,operating,2019,40.549,35.099,approximate,,https://www.gem.wiki/Palabiyik_solar_project
solar,Pazaryeri solar farm,10.7,operating,2017,40.1614,29.9783,approximate,,https://www.gem.wiki/Pazaryeri_solar_farm
solar,Pinarkent A solar project,5,operating,2018,37.8219,29.2398,approximate,Pamukkale,https://www.gem.wiki/Pinarkent_A_solar_project
solar,Pitane Hybrid solar project,4.8,operating,,38.4237,27.1428,approximate,Izmir,https://www.gem.wiki/Pitane_Hybrid_solar_project
solar,Polatli Hybrid solar project,3.1,operating,,39.716,32.706,approximate,Ankara,https://www.gem.wiki/Polatli_Hybrid_solar_project
solar,Psi Engil207 solar farm,10,operating,2019,38.373,43.2186,exact,Van,https://www.gem.wiki/Psi_Engil207_solar_farm
solar,Ra Güneş Mardin solar farm,9,operating,2019,37.2697,40.753,exact,Mardin,https://www.gem.wiki/Ra_Güneş_Mardin_solar_farm
solar,Renoe Acıpayam solar farm,10,operating,2017,37.4406,29.4395,exact,Denizli,https://www.gem.wiki/Renoe_Acıpayam_solar_farm
solar,Sacikara solar project,7,operating,2018,38.574,32.198,approximate,Saçıkara,https://www.gem.wiki/Sacikara_solar_project
solar,Sakarya Biyogaz Enerji Uretim Tesisi solar project,9.6,operating,,40.7732,30.4816,approximate,Sakarya,https://www.gem.wiki/Sakarya_Biyogaz_Enerji_Uretim_Tesisi_solar_project
solar,Sakarya Duzenli Depolama Depo Gazi Tesisi solar project,4.8,operating,,40.7732,30.4816,approximate,Sakarya,https://www.gem.wiki/Sakarya_Duzenli_Depolama_Depo_Gazi_Tesisi_solar_project
solar,Salihli Biyokutle Yakitli Enerji Santrali solar project,10.5,operating,,38.8574,28.0566,approximate,Manisa,https://www.gem.wiki/Salihli_Biyokutle_Yakitli_Enerji_Santrali_solar_project
solar,Saren Sargin Enerji Tesisi solar project,3.8,operating,,39.9208,32.854,approximate,Ankara,https://www.gem.wiki/Saren_Sargin_Enerji_Tesisi_solar_project
solar,Savcilli solar project,8.9,operating,2017,37.9727,28.7811,approximate,,https://www.gem.wiki/Savcilli_solar_project
solar,Seferoglu solar farm,11,operating,2016,38.7204,35.4949,approximate,,https://www.gem.wiki/Seferoglu_solar_farm
solar,Senirce A solar project,12,operating,2016,37.891,30.534,approximate,Senirce,https://www.gem.wiki/Senirce_A_solar_project
solar,Sereflikochisar Biyogaz Elektrik Uretim Santrali solar project,3.1,operating,,39.9208,32.854,approximate,Ankara,https://www.gem.wiki/Sereflikochisar_Biyogaz_Elektrik_Uretim_Santrali_solar_project
solar,Serra solar farm,8.1,operating,,37.031,31.717,exact,Antalya,https://www.gem.wiki/Serra_solar_farm
solar,Sertavul solar farm,30,operating,,36.7715,33.5344,exact,,https://www.gem.wiki/Sertavul_solar_farm
solar,Seydisehir 1 solar project,15.8,operating,2019,37.435,31.848,approximate,,https://www.gem.wiki/Seydisehir_1_solar_project
solar,Sirikli solar project,7,operating,2016,40.5062,34.7792,approximate,Sirikli,https://www.gem.wiki/Sirikli_solar_project
solar,Sivas solar project,19.1,operating,2017,39.773,36.927,approximate,,https://www.gem.wiki/Sivas_solar_project
solar,Siverek A solar project,5,operating,2018,37.762,39.247,approximate,Guvenli,https://www.gem.wiki/Siverek_A_solar_project
solar,Sofular Hybrid solar project,3.1,operating,,38.3487,38.3191,approximate,Malatya,https://www.gem.wiki/Sofular_Hybrid_solar_project
solar,Soguksu A solar project,7,operating,2017,40.211,29.419,approximate,Kestel,https://www.gem.wiki/Soguksu_A_solar_project
solar,Soguksu solar project,7,operating,2016,40.216,29.431,approximate,Kestel,https://www.gem.wiki/Soguksu_solar_project
solar,Sogut solar farm,3.5,operating,2017,40.0193,30.1816,approximate,,https://www.gem.wiki/Sogut_solar_farm
solar,Solana Konya solar farm,2.2,operating,2019,37.7334,33.5659,exact,Konya,https://www.gem.wiki/Solana_Konya_solar_farm
solar,Solentegre solar farm,8,operating,2016,38.715,39.126,exact,Elazig,https://www.gem.wiki/Solentegre_solar_farm
solar,Sucati Hybrid solar project,3.8,operating,,38.3487,38.3191,approximate,Malatya,https://www.gem.wiki/Sucati_Hybrid_solar_project
solar,Suleymanli solar project,4.6,operating,2017,38.6451,27.1989,approximate,,https://www.gem.wiki/Suleymanli_solar_project
solar,Supra Enerji Santrali solar project,4.9,operating,,37.8727,32.4924,approximate,Konya,https://www.gem.wiki/Supra_Enerji_Santrali_solar_project
solar,Talas solar project,4,operating,2017,38.6529,35.7593,approximate,Talas,https://www.gem.wiki/Talas_solar_project
solar,Tarsus solar farm,9.3,operating,2017,36.9246,34.8895,approximate,,https://www.gem.wiki/Tarsus_solar_farm
solar,Taşkesiği solar farm,13.2,operating,,37.198,30.0701,exact,Antalya,https://www.gem.wiki/Taşkesiği_solar_farm
solar,Tauros Hybrid solar project,12.4,operating,,38.0665,34.7051,approximate,Nigde,https://www.gem.wiki/Tauros_Hybrid_solar_project
solar,Teksin solar farm,33,operating,2020,37.1878,33.3159,exact,Karaman,https://www.gem.wiki/Teksin_solar_farm
solar,Tercan solar farm,5.2,operating,2017,39.7464,39.4914,approximate,,https://www.gem.wiki/Tercan_solar_farm
solar,Tiryaki Agro solar farm,11.4,operating,2018,36.889,34.743,exact,,https://www.gem.wiki/Tiryaki_Agro_solar_farm
solar,Toprakalle A solar project,5,operating,2017,37.026,36.122,approximate,,https://www.gem.wiki/Toprakalle_A_solar_project
solar,Turhal solar project,4.8,operating,2017,40.3375,36.2349,approximate,,https://www.gem.wiki/Turhal_solar_project
solar,Turkmenbeyi Hybrid solar project,1.1,operating,,37.8727,32.4924,approximate,Konya,https://www.gem.wiki/Turkmenbeyi_Hybrid_solar_project
solar,Tursunlu solar project,10.3,operating,2017,38.381,31.786,approximate,Tursunlu,https://www.gem.wiki/Tursunlu_solar_project
solar,Tvs Cop Gazi Elektrik Uretim Tesisi solar project,1.2,operating,,37.8276,29.239,approximate,Denizli,https://www.gem.wiki/Tvs_Cop_Gazi_Elektrik_Uretim_Tesisi_solar_project
solar,Uluder solar farm,15.8,operating,2020,38.419,37.248,exact,,https://www.gem.wiki/Uluder_solar_farm
solar,Uregen Enerji Biyogaz Tesisi solar project,1.6,operating,,39.9208,32.854,approximate,Ankara,https://www.gem.wiki/Uregen_Enerji_Biyogaz_Tesisi_solar_project
solar,Urfa Yogunka solar project,10,operating,2018,37.693,39.411,approximate,Yoğunca,https://www.gem.wiki/Urfa_Yogunka_solar_project
solar,Usak Biogaz Elektrik Uretim Tesisi solar project,4.2,operating,,38.6097,29.3307,approximate,Usak,https://www.gem.wiki/Usak_Biogaz_Elektrik_Uretim_Tesisi_solar_project
solar,Uzunahmet solar project,4,operating,2017,39.9382,41.3985,approximate,,https://www.gem.wiki/Uzunahmet_solar_project
solar,Van Arisu solar farm,55,operating,2020,38.6211,43.21,exact,,https://www.gem.wiki/Van_Arisu_solar_farm
solar,Yakutiye solar farm,5.4,operating,2017,39.9039,41.2726,approximate,,https://www.gem.wiki/Yakutiye_solar_farm
solar,Yapilcanlar2 Hybrid solar project,1.1,operating,,38.4326,33.8977,approximate,Aksaray,https://www.gem.wiki/Yapilcanlar2_Hybrid_solar_project
solar,Yayladami solar project,10,operating,2018,37.654,38.0985,approximate,Yayladamı,https://www.gem.wiki/Yayladami_solar_project
solar,Yaysun solar farm,10,operating,2018,37.8172,34.1839,exact,Konya,https://www.gem.wiki/Yaysun_solar_farm
solar,Yazibelen solar project,8,operating,2016,38.206,32.722,approximate,Selçuklu,https://www.gem.wiki/Yazibelen_solar_project
solar,Yeniba solar project,5.9,operating,2017,38.644,26.836,approximate,Yenibağarası,https://www.gem.wiki/Yeniba_solar_project
solar,Yenifoca solar project,5.7,operating,2017,38.713,26.807,approximate,,https://www.gem.wiki/Yenifoca_solar_project
solar,Yesilgolcuk solar project,4.3,operating,2016,38.2513,34.7845,approximate,,https://www.gem.wiki/Yesilgolcuk_solar_project
solar,Yildirim Hybrid solar project,11,operating,,40.2023,40.2122,approximate,Bayburt,https://www.gem.wiki/Yildirim_Hybrid_solar_project
solar,Zincirli Hybrid solar project,12,operating,,38.7219,35.4873,approximate,Kayseri,https://www.gem.wiki/Zincirli_Hybrid_solar_project
wind,Ada wind farm,10,operating,2015,37.8979,27.3232,exact,,https://www.gem.wiki/Ada_wind_farm
wind,Ada wind farm,12,operating,2021,37.9005,27.3306,exact,,https://www.gem.wiki/Ada_wind_farm
wind,Adapazari wind farm,85,operating,2021,40.507,30.543,exact,,https://www.gem.wiki/Adapazari_wind_farm
wind,Ado Akyurt wind farm,15,operating,2016,40.1878,36.6849,exact,,https://www.gem.wiki/Ado_Akyurt_wind_farm
wind,Air Wind Farm 4,61,operating,2017,41.6044,27.8146,exact,,https://www.gem.wiki/Air_Wind_Farm_4
wind,Ak wind farm,45,operating,2011,38.9207,27.773,exact,,https://www.gem.wiki/Ak_wind_farm
wind,Ak wind farm,10,operating,2018,38.9207,27.773,exact,,https://www.gem.wiki/Ak_wind_farm
wind,Akbük (Antik) wind farm,12,operating,2018,37.476,27.4028,exact,,https://www.gem.wiki/Akbük_(Antik)_wind_farm
wind,Akbük (Ayen) wind farm,32,operating,2009,37.4503,27.3871,exact,,https://www.gem.wiki/Akbük_(Ayen)_wind_farm
wind,Akbük (Ayen) wind farm,21,operating,2016,37.4155,27.4854,exact,,https://www.gem.wiki/Akbük_(Ayen)_wind_farm
wind,Akça wind farm,22,operating,2020,37.4636,27.4123,exact,,https://www.gem.wiki/Akça_wind_farm
wind,Akdag wind farm,24,operating,2018,37.5914,31.6675,exact,,https://www.gem.wiki/Akdag_wind_farm
wind,Akkus wind farm,12,operating,2020,40.8555,36.9744,exact,,https://www.gem.wiki/Akkus_wind_farm
wind,Aksu wind farm,71,operating,2012,38.0028,35.5419,exact,,https://www.gem.wiki/Aksu_wind_farm
wind,Aksu wind farm,10,operating,2019,38.0028,35.5419,exact,,https://www.gem.wiki/Aksu_wind_farm
wind,Akyel wind farm,43,operating,2020,37.0025,33.399,exact,Akipnar,https://www.gem.wiki/Akyel_wind_farm
wind,Akyel wind farm,11,operating,2020,37.0025,33.399,exact,Akipnar,https://www.gem.wiki/Akyel_wind_farm
wind,Akyurt wind farm,15,operating,2016,38.9826,37.3228,exact,,https://www.gem.wiki/Akyurt_wind_farm
wind,Alaçati wind farm,7.2,operating,,38.2887,26.3778,exact,,https://www.gem.wiki/Alaçati_wind_farm
wind,Alaçati wind farm,16,operating,2016,38.2838,26.3455,exact,Alaçatı Mahallesi,https://www.gem.wiki/Alaçati_wind_farm
wind,Alares 2 wind farm,19.2,operating,,40.3476,28.4213,exact,,https://www.gem.wiki/Alares_2_wind_farm
wind,Alares wind farm,10.2,operating,,38.3519,28.5195,approximate,,https://www.gem.wiki/Alares_wind_farm
wind,Aliağa wind farm,9.6,operating,2014,38.8128,26.9073,exact,,https://www.gem.wiki/Aliağa_wind_farm
wind,Aliağa wind farm,9.6,operating,2016,38.8128,26.9073,exact,,https://www.gem.wiki/Aliağa_wind_farm
wind,Alibey wind farm,18,operating,2018,39.3757,27.1678,exact,,https://www.gem.wiki/Alibey_wind_farm
wind,Alibey wind farm,12,operating,2018,39.3757,27.1678,exact,,https://www.gem.wiki/Alibey_wind_farm
wind,Alibeyhüyüğü wind farm,3.5,operating,,38.0846,32.0164,exact,,https://www.gem.wiki/Alibeyhüyüğü_wind_farm
wind,Amasya (Altertif) wind farm,48,operating,2016,40.6415,36.1132,exact,,https://www.gem.wiki/Amasya_(Altertif)_wind_farm
wind,Amasya (Eksim) wind farm,40,operating,2012,40.9283,35.5594,exact,,https://www.gem.wiki/Amasya_(Eksim)_wind_farm
wind,Amasya (Eksim) wind farm,42,operating,2017,40.9283,35.5594,exact,,https://www.gem.wiki/Amasya_(Eksim)_wind_farm
wind,Andoz wind farm,32,operating,2023,37.5203,34.903,exact,,https://www.gem.wiki/Andoz_wind_farm
wind,Arapkir wind farm,12,operating,2019,38.9753,38.5126,exact,,https://www.gem.wiki/Arapkir_wind_farm
wind,Ardiçli wind farm,63,operating,2018,38.153,32.7913,exact,,https://www.gem.wiki/Ardiçli_wind_farm
wind,Arzu wind farm,11,operating,2018,40.9331,35.5363,exact,,https://www.gem.wiki/Arzu_wind_farm
wind,Atakale wind farm,38.4,operating,2021,39.5458,33.5324,approximate,Konur,https://www.gem.wiki/Atakale_wind_farm
wind,Atares-1 wind farm,71,operating,,40.3752,28.2911,exact,,https://www.gem.wiki/Atares-1_wind_farm
wind,Atares-2 wind farm,86.2,operating,,40.3461,28.4121,exact,,https://www.gem.wiki/Atares-2_wind_farm
wind,Atik wind farm,18,operating,2014,36.4943,36.2024,exact,Hatay,https://www.gem.wiki/Atik_wind_farm
wind,Aydos wind farm,25,operating,,41.2696,28.3898,exact,,https://www.gem.wiki/Aydos_wind_farm
wind,Ayyildiz wind farm,15,operating,2009,40.3537,27.8826,exact,,https://www.gem.wiki/Ayyildiz_wind_farm
wind,Ayyildiz wind farm,13,operating,2017,40.3576,27.8901,exact,,https://www.gem.wiki/Ayyildiz_wind_farm
wind,Bafa wind farm,39,operating,2020,37.558,27.4578,exact,,https://www.gem.wiki/Bafa_wind_farm
wind,Bagarasi wind farm,48,operating,2015,37.7236,27.6619,exact,,https://www.gem.wiki/Bagarasi_wind_farm
wind,Baglama wind farm,53,operating,,38.313,42.8263,exact,,https://www.gem.wiki/Baglama_wind_farm
wind,Baglar wind farm,79,operating,2018,38.1228,32.7004,exact,,https://www.gem.wiki/Baglar_wind_farm
wind,Baglar wind farm,14,operating,2021,38.1228,32.7004,exact,,https://www.gem.wiki/Baglar_wind_farm
wind,Balabanli wind farm,50.6,operating,2014,41.1199,27.6212,exact,Balabanlı Mahallesi,https://www.gem.wiki/Balabanli_wind_farm
wind,Balabanli wind farm,36,operating,2016,41.1092,27.6286,exact,,https://www.gem.wiki/Balabanli_wind_farm
wind,Balikesir wind farm,143,operating,2012,39.7606,28.0556,exact,,https://www.gem.wiki/Balikesir_wind_farm
wind,Bandirma (Bilgin) wind farm,30,operating,2006,40.369,28.0969,exact,,https://www.gem.wiki/Bandirma_(Bilgin)_wind_farm
wind,Bandirma (Bilgin) wind farm,16,operating,2015,40.369,28.0969,exact,,https://www.gem.wiki/Bandirma_(Bilgin)_wind_farm
wind,Bandirma (Borusan) wind farm,28,operating,2014,40.3673,28.1475,exact,,https://www.gem.wiki/Bandirma_(Borusan)_wind_farm
wind,Bandirma (Borusan) wind farm,39,operating,2009,40.3673,28.1475,exact,,https://www.gem.wiki/Bandirma_(Borusan)_wind_farm
wind,Bandirma (Borusan) wind farm,21,operating,2010,40.3673,28.1475,exact,,https://www.gem.wiki/Bandirma_(Borusan)_wind_farm
wind,Bandirma-3 (Bursa) wind farm,25,operating,2008,40.2705,27.8573,exact,,https://www.gem.wiki/Bandirma-3_(Bursa)_wind_farm
wind,Bandirma-3 (Bursa) wind farm,17,operating,2016,40.2705,27.8573,exact,,https://www.gem.wiki/Bandirma-3_(Bursa)_wind_farm
wind,Barbaros wind farm,12,operating,2016,40.7914,27.3015,exact,,https://www.gem.wiki/Barbaros_wind_farm
wind,Belen wind farm,30,operating,2009,36.4864,36.1891,exact,Hatay,https://www.gem.wiki/Belen_wind_farm
wind,Belen wind farm,6,operating,,36.4864,36.1891,exact,Hatay,https://www.gem.wiki/Belen_wind_farm
wind,Belen wind farm,12,operating,2012,36.4864,36.1891,exact,Hatay,https://www.gem.wiki/Belen_wind_farm
wind,Bereketli wind farm,32,operating,2016,40.5578,37.3428,exact,,https://www.gem.wiki/Bereketli_wind_farm
wind,Berg wind farm (Türkiye),70,operating,2017,38.9597,27.2322,exact,,https://www.gem.wiki/Berg_wind_farm_(Turkey)
wind,Bergama (Bilgin) wind farm,90,operating,2010,38.9294,27.1938,exact,,https://www.gem.wiki/Bergama_(Bilgin)_wind_farm
wind,Bergama (Bilgin) wind farm,30,operating,2016,38.9294,27.1938,exact,,https://www.gem.wiki/Bergama_(Bilgin)_wind_farm
wind,Bergama (Vento) wind farm,25,operating,2018,39.1526,27.0856,exact,,https://www.gem.wiki/Bergama_(Vento)_wind_farm
wind,Biga wind farm,61,operating,2015,40.4024,27.1721,exact,,https://www.gem.wiki/Biga_wind_farm
wind,Bozcaada wind farm,10,operating,2000,39.8334,25.9716,exact,,https://www.gem.wiki/Bozcaada_wind_farm
wind,Bozuyük wind farm,90,operating,2021,39.8685,29.8422,exact,,https://www.gem.wiki/Bozuyük_wind_farm
wind,Bozyaka wind farm,12,operating,2012,38.7495,26.9466,exact,,https://www.gem.wiki/Bozyaka_wind_farm
wind,Burgaz wind farm,14.9,operating,2007,40.3883,26.583,exact,,https://www.gem.wiki/Burgaz_wind_farm
wind,Çakil wind farm,16,operating,2019,40.5343,29.1258,exact,,https://www.gem.wiki/Çakil_wind_farm
wind,Çakil wind farm,28,operating,2020,40.5343,29.1258,exact,,https://www.gem.wiki/Çakil_wind_farm
wind,Çakkale wind farm,30,operating,2010,39.8664,26.2266,exact,,https://www.gem.wiki/Çakkale_wind_farm
wind,Çaminbasi wind farm,28,operating,2020,38.1214,32.3261,exact,,https://www.gem.wiki/Çaminbasi_wind_farm
wind,Çamseki wind farm,20,operating,2009,39.8913,26.177,exact,,https://www.gem.wiki/Çamseki_wind_farm
wind,Çamseki wind farm,42,operating,2018,39.8913,26.177,exact,,https://www.gem.wiki/Çamseki_wind_farm
wind,Çandarli wind farm,36,operating,,38.9737,26.8561,exact,,https://www.gem.wiki/Çandarli_wind_farm
wind,Çanta wind farm,48,operating,2014,41.1237,28.0567,exact,,https://www.gem.wiki/Çanta_wind_farm
wind,Çatalca wind farm,60,operating,2008,41.1495,28.433,exact,,https://www.gem.wiki/Çatalca_wind_farm
wind,Çatalca wind farm,34,operating,2017,41.1495,28.433,exact,,https://www.gem.wiki/Çatalca_wind_farm
wind,Çaypir wind farm,25,operating,2020,39.7065,28.1052,exact,,https://www.gem.wiki/Çaypir_wind_farm
wind,Çerçikaya wind farm,57,operating,2015,36.434,36.1172,exact,Hatay,https://www.gem.wiki/Çerçikaya_wind_farm
wind,Cerit wind farm,58,operating,2018,37.7242,37.2992,exact,,https://www.gem.wiki/Cerit_wind_farm
wind,Cerit wind farm,35,operating,2020,37.722,37.3313,exact,,https://www.gem.wiki/Cerit_wind_farm
wind,Çesme wind farm,18,operating,2015,38.2989,26.3247,exact,,https://www.gem.wiki/Çesme_wind_farm
wind,Dagpazari (Enerjisa) wind farm,39,operating,2011,36.7725,33.4172,exact,,https://www.gem.wiki/Dagpazari_(Enerjisa)_wind_farm
wind,Dares Datça wind farm,22,operating,2008,36.7804,27.696,exact,,https://www.gem.wiki/Dares_Datça_wind_farm
wind,Dares Datça wind farm,12,operating,2017,36.7804,27.696,exact,,https://www.gem.wiki/Dares_Datça_wind_farm
wind,Dares Datça wind farm,12,operating,2018,36.7607,27.6331,exact,,https://www.gem.wiki/Dares_Datça_wind_farm
wind,Demirciler wind farm,23,operating,2016,37.244,36.6678,exact,,https://www.gem.wiki/Demirciler_wind_farm
wind,Demircili wind farm,7.5,operating,,38.2392,26.7308,exact,,https://www.gem.wiki/Demircili_wind_farm
wind,Demircili wind farm,32,operating,2016,38.2413,26.7409,exact,,https://www.gem.wiki/Demircili_wind_farm
wind,Denizli wind farm,75,operating,2019,37.7779,28.8076,exact,,https://www.gem.wiki/Denizli_wind_farm
wind,Dilek wind farm,24,operating,2015,37.5386,36.4653,exact,,https://www.gem.wiki/Dilek_wind_farm
wind,Dir wind farm,50.6,operating,2013,38.1552,30.1366,exact,,https://www.gem.wiki/Dir_wind_farm
wind,Dir wind farm,27.6,operating,2016,38.1552,30.1366,exact,,https://www.gem.wiki/Dir_wind_farm
