Type,Plant / Project name,Capacity (MW),Status,Start year,Latitude,Longitude,Location accuracy,City,GEM.Wiki URL
solar,Bayburt Belediye solar farm,4.6,operating,2017,40.263,40.158,exact,,https://www.gem.wiki/Bayburt_Belediye_solar_farm
solar,Bayramgazi solar project,11.9,operating,2018,38.8601,30.382,approximate,Bayramgazi,https://www.gem.wiki/Bayramgazi_solar_project
solar,Bbr Konya Enerji Uretim Tesisii solar project,1.6,operating,,37.8727,32.4924,approximate,Konya,https://www.gem.wiki/Bbr_Konya_Enerji_Uretim_Tesisii_solar_project
solar,Bekmezci Biyogaz Enerji Santrali solar project,3.2,operating,,40.6668,33.4526,approximate,Cankiri,https://www.gem.wiki/Bekmezci_Biyogaz_Enerji_Santrali_solar_project
solar,Beta solar project,1,operating,,36.9864,35.3253,approximate,Adana,https://www.gem.wiki/Beta_solar_project
solar,Beyaz Piramit Biyogaz Santrali solar project,3,operating,,37.8727,32.4924,approximate,Konya,https://www.gem.wiki/Beyaz_Piramit_Biyogaz_Santrali_solar_project
solar,Beylikova Biyogaz Enerji Santrali solar project,3.2,operating,,39.7744,30.5191,approximate,Eskisehir,https://www.gem.wiki/Beylikova_Biyogaz_Enerji_Santrali_solar_project
solar,Bientas Kasinhani Elektrik Uretim Tesisi solar project,9.6,operating,,37.8727,32.4924,approximate,Konya,https://www.gem.wiki/Bientas_Kasinhani_Elektrik_Uretim_Tesisi_solar_project
solar,Bientas Konya Termal Bertaraf Tesisi solar project,7,operating,,37.8727,32.4924,approximate,Konya,https://www.gem.wiki/Bientas_Konya_Termal_Bertaraf_Tesisi_solar_project
solar,Bingol Biyogaz Tesisi solar project,4.4,operating,,38.8861,40.4972,approximate,Bingol,https://www.gem.wiki/Bingol_Biyogaz_Tesisi_solar_project
solar,Birlik Uretim Hybrid solar project,10,operating,,38.4326,33.8977,approximate,Aksaray,https://www.gem.wiki/Birlik_Uretim_Hybrid_solar_project
solar,Biyosan Hybrid solar project,1.6,operating,,38.4326,33.8977,approximate,Aksaray,https://www.gem.wiki/Biyosan_Hybrid_solar_project
solar,Bolvadin solar farm,13.5,operating,2017,38.753,31.003,exact,,https://www.gem.wiki/Bolvadin_solar_farm
solar,Bor Hybrid solar project,13.5,operating,,38.6853,30.6427,approximate,Afyonkarahisar,https://www.gem.wiki/Bor_Hybrid_solar_project
solar,Bor Hybrid solar project-solar project,5.5,operating,,38.0665,34.7051,approximate,Nigde,https://www.gem.wiki/Bor_Hybrid_solar_project-solar_project
solar,Bozkir Hybrid solar project,1.6,operating,,37.8727,32.4924,approximate,Konya,https://www.gem.wiki/Bozkir_Hybrid_solar_project
solar,Buget solar farm,15.8,operating,2020,38.4382,36.975,exact,Kahramanmaras,https://www.gem.wiki/Buget_solar_farm
solar,Buget solar farm,10.6,operating,2020,38.4422,36.9769,exact,Kahramanmaras,https://www.gem.wiki/Buget_solar_farm
solar,Buharkent Hybrid solar project,14.1,operating,,37.8484,27.8436,approximate,Aydin,https://www.gem.wiki/Buharkent_Hybrid_solar_project
solar,Buldan A solar project,5,operating,2017,37.9903,28.8987,approximate,,https://www.gem.wiki/Buldan_A_solar_project
solar,Burak-1 Biyokutle Hibrit Gunes Elektrik Santrali solar project,16.3,operating,,40.7732,30.4816,approximate,Sakarya,https://www.gem.wiki/Burak-1_Biyokutle_Hibrit_Gunes_Elektrik_Santrali_solar_project
solar,Burdur solar farm,8.3,operating,2015,37.507,30.012,exact,,https://www.gem.wiki/Burdur_solar_farm
solar,Burdur solar farm,10,operating,2016,37.7187,30.2827,approximate,,https://www.gem.wiki/Burdur_solar_farm
